CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
ลิฟ แอท ไฟว์,5624000,30000,38,,0,1,,,,13.74327,100.554367
ลุมพินี พาร์ค พระราม 9-รัชดา,6128571,27000,72,,,2,2,,,13.7532,100.57629
,7220000,,35,,,1,1,,,13.731102,100.531009
แอสปาย พระราม 4,2713021,,28,,,1,1,,,13.71219,100.58449
คลาส สีลม,5500000,,33,,8,1,,1,,13.725554,100.53145
,3220359,,26,,,,1,,,,
ไลฟ์ อโศก-พระราม 9 ,3110000,,25,,,,1,,,13.755352,100.564598
,25000000,,178,,2,3,,0,,13.739782,100.566072
,3465000,,33,,,1,1,,,13.7466,100.606
วิสซ์ดอม อเวนิว รัชดา-ลาดพร้าว,5210603,,31,,,1,1,,,13.805203,100.574228
ริทึ่ม สาทร,10526520,,55,,,1,1,,,13.71677,100.51648
,10500000,,75,,,2,2,,1,,
,14500000,,60,,0,1,,0,,13.725363,100.538161
ดีคอนโด,1750000,8000,31,,11,1,,1,,13.751184,100.606241
,29000000,,250,,,2,2,,,13.713934,100.58942
,9000000,,169,,19,2,,2,,13.716804,100.529206
มาเอสโตร 02 ร่วมฤดี,7965000,30000,45,,0,1,,0,,13.816348,100.541525
,11000000,,303,,,5,4,,,13.736329,100.645476
,4500000,23000,45,,11,1,,1,,13.713158,100.592488
,7550000,,53,,,1,2,,,13.7639,100.569
วิช แอท สามย่าน,9422022,,67,,,2,2,,,13.73206,100.52644
,5300000,,34,,,1,1,,,13.7906,100.546
,7150000,,33,,23,1,,0,,13.755843,100.564494
,11200000,35000,57,,,1,1,,,13.7281,100.569
,4700000,,46,,0,1,,0,,13.799035,100.575882
ริทึ่ม รัชดา,5512320,,45,,,1,1,,,13.79875,100.57586
The Room สุขุมวิท 79,6112000,,59,,,2,1,,,13.71444,100.59283
,4000000,,56,,0,1,,0,,13.738587,100.553888
,17100000,,133,,22,3,,1,,13.737886,100.566306
ฮาสุ เฮาส์,9000000,,64,,,2,2,,,13.7139,100.602
,3601500,,,,0,1,,0,,13.684282,100.605085
,11240000,,45,,,1,1,,,13.7432,100.562
ไอดีโอ คิว สยาม - ราชเทวี,6610000,,34,,,1,1,,,13.7527,100.535
,5058323,,35,,,1,1,,,13.817434,100.562714
เดอะ เทมโพ,7350000,35000,55,,,1,1,,,13.7391,100.551
เดอะ ลุมพินี 24,8550000,47000,38,,0,1,,1,,13.723074,100.566336
ไลฟ์ อโศก-พระราม 9 ,5590000,,35,,,1,1,,,13.755352,100.564598
,3770000,,29,,0,1,,0,,13.743738,100.587533
ไอดีโอ โมบิ สุขุมวิท,3650000,,22,,,,1,,,13.7042,100.602
,2200000,,62,,5,1,,0,,13.817543,100.550055
,8800000,,50,,,2,1,,,13.77789,100.54245
,6487730,,122,,,3,3,,,,
,16380000,74000,156,,0,3,,0,,13.71039,100.500848
,4240000,,30,,,1,1,,,13.695005,100.60354
ไอวี่ ทองหล่อ,7300000,,43,,0,1,1,0,,13.737176,100.583546
,53000000,,299,,,4,4,,,13.72655,100.508356
,9300000,,50,,,1,1,,,13.707088,100.526724
,19950000,120000,141,,0,2,,0,,13.740322,100.540924
