CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,10850000,55000,70,,0,1,,0,,13.735031,100.564694
,12500000,,78,,0,2,,0,,13.743738,100.587533
แอชตัน สีลม,23770000,,87,,,2,2,,,13.7261,100.52695
,3000000,,32,,24,1,,1,,13.679178,100.527789
,7500000,,36,,,1,1,,,13.7141,100.602
,45000000,,376,,,3,4,,,,
,75000000,,356,,,5,,,,13.723857,100.566859
,7650000,32000,50,,0,1,,0,,13.780702,100.544937
ไลฟ์ อโศก,4350000,,29,,,1,1,,,13.750507,100.563889
แอสปาย สาทร-ท่าพระ,3302741,,31,,,1,1,,,13.71501,100.47866
,1750000,8000,30,,3,1,,0,,13.67054,100.624507
สกาย วอล์ค คอนโดมิเนียม,9000000,40000,60,,22,1,,1,,13.714292,100.593536
แอสปาย สาทร-ท่าพระ,3798229,17000,30,,,1,1,,,13.71501,100.47866
,20000000,,158,,0,4,,0,,13.719527,100.531072
,12200000,,44,,,1,1,,,13.726133,100.581687
,1400000,,35,,1,1,,1,,13.712629,100.450229
,9790000,,35,,,1,1,,,13.761437,100.536869
คลาส สยาม,7828000,,44,,0,1,,0,,13.743386,100.526799
ไอดีโอ โมบิ อโศก,4790000,,26,,,,,,,13.70427,100.60203
บ้านปิยะสาธร,13635000,,137,,,3,3,,,13.72089,100.54956
ซิลเวอร์ เฮอริเทจ,23790000,90000,195,,0,2,,0,,13.71871,100.579504
,20800000,,172,,0,3,,0,,13.719024,100.585427
,7060000,,35,,0,1,,0,,13.73116,100.530992
,11300000,,57,,0,2,,1,,13.804071,100.554106
ไลฟ์ อโศก,4600000,,29,,,1,1,,,13.750507,100.563889
,5060000,28000,55,,0,1,,0,,13.738885,100.585563
,2700000,,35,,,1,1,,,13.686571,100.605459
,3600000,18000,32,,,1,1,,,13.7466,100.606
,1300000,,25,,0,1,,0,,13.827423,100.673809
,9020000,,82,,0,2,,0,,13.722335,100.528092
เอดจ์ สุขุมวิท 23,6192601,,30,,,1,1,,,13.73963,100.56309
,7250000,,41,,,1,1,,,13.806,100.557
,7400000,,114,,2,2,,0,,13.705243,100.599581
,6955000,,35,,,1,1,,1,,
,7500000,,70,,0,2,,0,,13.743217,100.5709
เอท ทองหล่อ เรสซิเดนซ์,45000000,,206,,0,3,,0,,13.730598,100.581843
,2700000,,57,,17,2,,0,,13.754686,100.626194
,3770000,,31,,,1,1,,,13.7204,100.493
,8500000,,39,,,1,1,,,13.722535,100.566241
,15210000,75000,90,,0,2,,0,,13.72824,100.568202
,11880000,55000,86,,,2,2,,,,
,5990000,19000,31,,0,1,,1,,13.721863,100.576765
ลิฟ แอท 49,7200000,,40,,0,1,,0,,13.728635,100.57558
เดอะเน็กซ์ การ์เด้นสูท,3800000,,47,,0,1,,0,,13.704056,100.60047
ดีบุราพรานนก,4500000,16000,37,,,1,1,,,13.7568,100.477
,9500000,,69,,0,2,,0,,13.739281,100.572775
พอส สุขุมวิท 103,2879559,,27,,,1,1,,,13.68147,100.61273
,9800000,,61,,,1,1,,,13.7449,100.549
,26750000,,181,,0,3,,0,,13.736863,100.548734
เดอะ บลูม สุขุมวิท 71,13500000,,129,,0,3,,0,,13.713282,100.594288
เดอะ ดิโพลแมท 39,11320000,,42,,0,1,,0,,13.738603,100.561917
ไลฟ์ อโศก,4410000,,29,,,1,1,,,13.750507,100.563889
ศุภาลัย ริเวอร์ เพลส,9000000,,104,,8,2,,2,,13.711992,100.501626
The Room สุขุมวิท 21,8200000,,52,,,1,1,,1,,
เอ็ม สีลม,9270000,,51,,0,1,,0,,13.727273,100.526676
ไลฟ์ อโศก,3942623,,29,,,1,1,,,13.75064,100.56436
,3550000,14000,26,,,1,1,,,13.7136,100.601
,9580000,,98,,0,2,,0,,13.787342,100.546055
,3500000,15500,36,,11,1,,1,,13.729257,100.47406
,15500000,,110,,0,2,,0,,13.719527,100.531072
สาทร พลัส ออน เดอะ พอนด์,4862660,,59,,,1,1,,,13.71564,100.54697
ดิแอดเดรสพญาไท,11500000,,61,,,2,2,,1,,
ไลฟ์ แอท สาทร 10,5552158,,37,,,1,1,,,13.7226,100.52738
เอช สุขุมวิท 43,13500000,,75,,,2,2,,1,,
เซอร์เคิล สุขุมวิท 11,35500000,,201,,0,3,,0,,13.745789,100.555913
,40000000,,144,,,3,3,,,13.715837,100.505659
ริทึ่ม รางน้ำ,10837052,,46,,,,,,,13.76104,100.53706
ชีวาทัย เรสซิเดนซ์ อโศก,4920000,,28,,,1,1,,,13.75368,100.56436
เดอะ ไลน์ อโศก-รัชดา,5817900,,35,,,1,1,,,13.7558,100.564
,18000000,,74,,,2,2,,,13.728051,100.572452
,11333300,,112,,0,2,,0,,13.739922,100.541005
,7900000,,52,,0,2,,0,,13.723993,100.530386
แอสปาย พระราม 4,2691200,16000,29,,0,1,,0,,13.712224,100.584489
ดิแอดเดรสสยาม,11200000,38000,78,,22,2,,1,,13.752121,100.534351
,16224000,80000,96,,0,2,,0,,13.72824,100.568202
เดอะมาสเตอร์เซ็นเธรี่ยม,10816000,50000,104,,0,2,,0,,13.740936,100.561249
,4760000,,28,,,,1,,,13.747864,100.548372
ไดมอนด์ สุขุมวิท,6148000,35000,58,,0,2,,0,,13.708547,100.599381
เลอนีซ เอกมัย,7035000,36000,67,,0,2,,0,,13.725289,100.585729
แบงค์คอกเฟลิซ สุขุมวิท 69,4840000,,43,,4,1,,1,,13.715969,100.591997
,9830000,,33,,,1,1,,,,
เดอะ ไลน์ ราชเทวี,18200000,,61,,,2,2,,,13.7524,100.534
วอร์เตอร์มาร์ค เจ้าพระยา ริเวอร์,30000000,,218,,,3,3,,,13.715837,100.505659
คิว ชิดลม-เพชรบุรี,7860000,,45,,,1,1,,,13.7494,100.54387
,1490000,,29,,8,1,,0,,13.687013,100.637707
,1650000,,22,,0,1,,1,,13.684997,100.604121
แอชตัน มอร์ฟ 38,12360000,,57,,0,2,,1,,13.720807,100.578825
ไลฟ์ อโศก,4250000,,29,,,1,1,,,13.750507,100.563889
