CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,7102000,62000,67,,0,1,,0,,13.724701,100.583198
ริทึ่ม อโศก,3580000,,22,,,,1,,,13.75427,100.56447
เมธา เพลส แอท รัชดา,4122889,,63,,,2,1,,,13.7782,100.58653
,3500000,,26,,10,1,,1,,13.805892,100.533042
,11340000,50000,84,,0,2,,0,,13.720933,100.535302
15 สุขุมวิท เรสซิเดนซ์,4300000,,28,,0,,,1,,13.742197,100.557737
,8457209,40000,46,,,1,1,,,13.7315,100.57493
ไลฟ์ อโศก-พระราม 9 ,4920000,,35,,,1,1,,,,
,5300000,,49,,0,3,,0,,13.711512,100.594775
,8420000,,33,,23,1,,0,,13.755843,100.564494
ไบร์ท สุขุมวิท 24,40100000,,177,,,3,3,,,13.72366,100.56659
โฟกัส เพลินจิต,7295000,,48,,,1,1,,,13.7399,100.552
,25500000,,155,,0,3,,0,,13.725176,100.563992
,5160500,,30,,,1,1,,,13.7402,100.59
แอสปาย พระราม 4,2760000,13500,28,,0,1,,0,,13.712224,100.584489
ริทึ่ม สาทร,5968470,,38,,,1,1,,,13.71677,100.51648
วิลล่าอโศก,11988094,,81,,,2,2,,,13.74885,100.56157
แอสปาย สาทร-ท่าพระ,3307964,,30,,,1,1,,,13.71501,100.47866
ริทึ่ม สาทร-นราธิวาส,8000000,,55,,0,2,,1,,13.718831,100.532791
ไลฟ์ สุขุมวิท 48,6610000,,49,,,2,1,,,13.712082,100.595331
ไอดีโอ โมบิ อโศก,4870000,,28,,,,1,,,13.70427,100.60203
,4484435,17000,46,,,1,1,,,13.77834,100.57409
,10668000,55000,84,,0,2,,0,,13.743808,100.55595
ไลฟ์ อโศก,4490000,,29,,,1,1,,,13.750507,100.563889
,7650000,60000,85,,0,2,,0,,13.739469,100.543488
,4500000,,29,,,1,1,,,13.750507,100.563889
ดิ เอ็มไพร์ เพลส สาทร,17800000,,114,,,2,2,,,13.7191,100.531
แอสปาย พระราม 4,3595847,14000,28,,,1,1,,,13.71219,100.58449
,16480000,,90,,0,2,,0,,13.729356,100.562093
,4611000,,32,,,1,1,,,13.755019,100.561977
,67000000,,450,,8,4,,3,,13.726296,100.58398
,7000000,,60,,,1,1,,,13.671617,100.541997
,11248000,40000,76,,0,2,,0,,13.707897,100.600622
,1290000,,29,,14,1,,0,,13.754686,100.626194
,11410000,,63,,,2,2,,,13.747864,100.548372
,4460000,,26,,,1,1,,,13.79052,100.54609
โนเบิลโอร่า,8750000,40000,78,,10,1,,1,,13.736292,100.584636
เอดจ์ สุขุมวิท 23,7300000,28000,30,,,1,1,,,13.7391,100.563
,8000000,,57,,0,1,,0,,13.725176,100.563992
เดอะ เวอร์ติคอล อารีย์,10800000,,70,,,2,2,,,13.7786,100.542
ควอทโทร บาย แสนสิริ,20995000,85000,95,,0,2,,0,,13.727393,100.581584
เดอะ ไลน์ ราชเทวี,10400000,,34,,,1,1,,,13.7524,100.534
คลาส สยาม,7843961,,45,,,1,1,,,13.72555,100.53145
,3500000,,41,,4,1,,1,,13.755788,100.575088
เดอะ ริเวอร์,18000000,90000,130,,0,2,,0,,13.720439,100.509914
,4250000,,30,,,1,1,,,13.7136,100.601
,4900000,,56,,,1,1,,1,,
,5500000,,74,,2,2,,0,,13.718593,100.573397
คิว หลังสวน,22122000,90000,90,,0,2,,0,,13.739067,100.542914
,16500000,65000,115,,0,2,,0,,13.728618,100.573007
