CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
เดอะ ลุมพินี 24,48180000,130000,146,,0,2,,0,,13.723074,100.566336
ไลฟ์ อโศก,4338846,,29,,,1,1,,,13.75064,100.56436
ดิ แอดเดรส สุขุมวิท 28,18000000,,74,,0,2,,0,,13.728051,100.572452
,11500000,,53,,,2,1,,,13.724781,100.567305
,14800000,,61,,,2,2,,,,
,7332131,,35,,,1,1,,,13.72247,100.58455
,5090000,,28,,,,1,,,13.747864,100.548372
แอชตัน อโศก,11470000,,36,,,1,1,,,13.7391,100.561
ควอทโทร บาย แสนสิริ,15000000,50000,54,,,1,1,,,13.7275,100.582
เอ็ม พญาไท,8800000,,,,,1,1,,,13.7609,100.536
,1180000,,26,,0,1,,0,,13.863252,100.588564
,12380000,,94,,,2,2,,,13.75699,100.53922
,8400000,,34,,,1,1,,,13.7391,100.561
,2989623,,39,,,1,1,,,,
อัลติจูด สามย่าน-สีลม,6030000,,34,,,1,1,,,13.73188,100.52606
ไลฟ์ อโศก-พระราม 9 ,4010000,,32,,,1,1,,,,
,10000000,40000,80,,11,1,,1,,13.719024,100.585427
,4500000,,40,,4,1,,0,,13.751347,100.528666
เดอะ สกาย สุขุมวิท,4500000,,35,,18,1,,0,,13.675547,100.608005
แอสปาย สาทร-ท่าพระ,3359042,,30,,,1,1,,,13.71501,100.47866
,11353102,,42,,,1,1,,,13.724442,100.580397
,22000000,,65,,49,2,,0,,13.738886,100.561535
ควอทโทร บาย แสนสิริ,12000000,50000,54,,,1,1,,,13.7275,100.582
,6000000,,28,,0,1,,0,,13.725516,100.566202
เดอะ เครสท์ สุขุมวิท 34,14420000,,52,,0,1,,1,,13.725448,100.576538
,1650000,8500,28,,7,1,,1,,13.78351,100.586099
,43370000,,342,,0,3,,0,,13.719527,100.531072
สกาย วอล์ค คอนโดมิเนียม,,24000,37,,0,1,,0,,13.714292,100.593536
ควอทโทร บาย แสนสิริ,28000000,,82,,,2,2,,,13.7275,100.582
,24110000,,86,,,2,2,,,,
,,,28,,0,1,,0,,13.712224,100.584489
,1900000,,34,,6,1,,0,,13.675378,100.637686
ซิลเวอร์ เฮอริเทจ,29700000,,198,,,3,4,,1,,
,12000000,,60,,,2,1,,,13.748246,100.562727
,18400000,75000,115,,0,2,,0,,13.729573,100.572038
,6860000,,26,,,1,1,,,13.777826,100.542722
,7000000,,48,,,1,1,,,13.728442,100.570629
,7900000,,61,,,2,2,,,13.72181,100.49781
,2500000,,32,,0,1,,0,,13.70669,100.600406
ไลฟ์ อโศก-พระราม 9 ,4230000,,32,,,1,1,,,13.755352,100.564598
,7100000,,34,,,1,1,,,13.74376,100.556641
,8000000,,51,,2,1,,0,,13.7211,100.583
ศุภาลัย ปาร์ค เอกมัย-ทองหล่อ,5800000,,71,,,2,1,,,13.74365,100.58885
,17010000,76000,162,,0,3,,0,,13.71039,100.500848
,42000000,,240,,,2,,,,13.733215,100.570661
,5400000,30000,45,,0,1,,0,,13.730651,100.587341
เมโทร ปาร์ค สาทร,5511215,,89,,,3,3,,,13.70981,100.45118
,18000000,,140,,0,2,,0,,13.736832,100.583702
,9120000,40000,75,,,2,2,,,13.7345,100.586
,6000000,,64,,0,1,,1,,13.717581,100.524638
วิสซ์ดอม คอนเนค สุขุมวิท,6028332,,38,,,1,1,,,13.6858,100.61106
ไลฟ์ อโศก,4450000,,29,,,1,1,,,13.750507,100.563889
,5720000,,30,,,,1,,,13.731223,100.585851
,8500000,,46,,22,1,,1,,13.723319,100.566608
,1650000,,26,,5,1,,0,,13.859833,100.569077
,3833550,,,,0,1,,0,,13.684282,100.605085
ไอดีโอ โมบิ สุขุมวิท,6945900,,42,,,1,1,,,13.70427,100.60203
,12800000,50000,100,,0,2,,0,,13.729573,100.572038
,15500000,,262,,,3,3,,1,,
เดอะ สตาร์ เอสเตท แอท พระราม 3,3805744,,54,,,1,1,,,13.67477,100.53476
อกัสตัน สุขุมวิท 22,12300000,,84,,0,2,,0,,13.725176,100.563992
,10500000,,,,,2,2,,,,
โนเบิล เพลินจิต,17800000,,59,,,1,1,,,13.7435,100.549
ไลฟ์ อโศก-พระราม 9 ,4110000,,35,,,1,1,,,13.755352,100.564598
,8440000,,33,,31,1,,0,,13.755843,100.564494
,7450000,28000,41,,12,1,,1,,13.806566,100.55624
,4500000,15000,40,,,1,1,,,13.7104,100.602
,3250000,,33,,5,1,1,1,2,13.756331,100.501765
,19040000,55000,140,,0,2,,0,,13.741131,100.549816
,34814000,,111,,,2,2,,,13.733247,100.582098
แอชตัน อโศก,8980000,,34,,,1,1,,,13.73701,100.56039
ไซมิส สุรวงศ์,15750000,65000,109,,0,3,,1,,13.729786,100.527884
,8690000,39000,62,,7,2,,1,,13.714088,100.602061
ดิ แอดเดรส สุขุมวิท 61,6390000,,43,,0,1,,0,,13.725503,100.583689
,23500000,,138,,,2,2,,,13.7212,100.511
แอชตัน จุฬา-สีลม,7780000,,35,,0,1,,1,,13.73116,100.530992
ไลฟ์ อโศก-พระราม 9 ,3190000,,25,,,,1,,,,
,8350000,,150,,1,3,,1,,13.738587,100.553888
ไอดีโอ สาทร-ตากสิน,4180000,,35,,,1,1,,,13.72018,100.50204
แอสปาย พระราม9,6888000,30000,56,,0,1,,0,,13.754758,100.566612
วิสต้า การ์เด้น ,4240000,,47,,,1,1,,,,
ไอดีโอ คิว ราชเทวี,6000000,25000,34,,23,1,,1,,13.751595,100.532285
