CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,2848596,,25,,,,1,,,,
,5871000,,48,,0,1,,0,,13.731923,100.58375
เดอะ ซิกเนเจอร์ บาย เออร์บาโน่,9510000,,54,,,,,,,13.79288,100.54918
,4830000,,28,,,,1,,,13.747797,100.548437
,4950000,,30,,,1,1,,,,
,11088000,48000,66,,0,2,,0,,13.722707,100.580362
เวีย 49,12649000,65000,70,,0,2,,0,,13.73036,100.575864
,4809000,,31,,7,1,,1,,13.746337,100.587398
,12500000,,122,,0,2,,0,,13.736863,100.548734
,5670000,28000,70,,0,2,,0,,13.756299,100.56859
,7900000,,37,,,1,1,,,13.7432,100.562
ริทึ่ม สุขุมวิท 36 – 38,6240258,,33,,,1,1,,,13.72161,100.57689
วิสซ์ดอม คอนเนค สุขุมวิท,4084020,,30,,,1,1,,,13.6858,100.61106
,6780000,,35,,,1,1,,,13.747864,100.548372
,4488000,20000,34,,0,1,,0,,13.718617,100.527071
,2300000,,30,,0,1,,1,,13.745481,100.602348
,27000000,,211,,0,4,,0,,13.729821,100.565017
,5850000,,39,,,1,1,,1,,
,6880000,,31,,,1,,,,13.811442,100.559296
ไลฟ์ อโศก,5540000,,35,,,1,1,,,13.750507,100.563889
แอชตัน จุฬา-สีลม,15997553,,63,,,2,2,,,13.7311,100.53101
,20000000,,56,,,1,1,,,13.743762,100.548608
,11500000,,112,,,2,2,,,13.739976,100.541116
,3203000,,27,,0,1,,0,,13.706876,100.634165
เดอะ ไลน์ พหลโยธิน-ประดิพัทธ์,4550000,,26,,,1,1,,,13.7906,100.546
,5320000,,35,,0,1,,1,,13.681212,100.609941
,7050000,,33,,,1,1,,,13.7311,100.531
,1575000,,26,,,1,,,,13.711292,100.610005
,,,35,,,1,1,,,13.7558,100.564
,49200000,,140,,0,2,,1,,13.731168,100.570808
,4980000,23800,41,,0,1,,1,,13.712821,100.594265
,4200000,15000,46,,17,2,,1,,13.713454,100.463708
,130200,19000,23,,0,1,,1,,13.705855,100.597221
เดอะ ริเวอร์,31000000,,137,,,2,2,,,13.7212,100.511
,6200000,,61,,0,3,,0,,13.71036,100.601915
,4300000,,32,,15,1,,1,,13.783397,100.574591
,9804952,,35,,,1,1,,,,
เดอะ ไลน์ สุขุมวิท 71,4680000,18000,30,,20,1,,1,,13.715003,100.594612
ฟิวส์ โมเบียส รามคำแหง,2292620,,26,,,1,1,,,13.74601,100.60155
วีธารา สุขุมวิท 36,4116910,,29,,0,1,,0,,13.724448,100.576814
,4680000,,36,,0,1,,0,,13.743738,100.587533
นิมิตร หลังสวน,30700000,,90,,,2,2,,,13.7346,100.542
,26500000,77000,101,,,3,3,,,13.7226,100.58
,12350000,,46,,,2,1,,,13.7391,100.561
,1290000,,22,,7,1,,0,,13.706761,100.634145
,6350000,,35,,,1,1,,,13.747864,100.548372
เดอะ เทรนดี้ คอนโดมิเนียม,12000000,,97,,0,2,,0,,13.741124,100.557866
ลุมพินี เพลส นราธิวาส-เจ้าพระยา,5700000,,68,,0,2,,0,,13.683377,100.548202
ริทึ่ม รางน้ำ,11400000,,62,,,2,2,,,13.761,100.537
เดอะ ไลน์ จตุจักร-หมอชิต,6200000,,32,,,1,1,,,13.8062,100.5562
,8900000,45000,72,,9,2,,1,,13.729573,100.572038
,5500000,,68,,,1,1,,,13.721772,100.58876
,4593750,,36,,0,1,,0,,12.916294,100.865476
ไอดีโอ โมบิ จรัญ-อินเตอร์เชนจ์,2950000,,22,,,,,,,13.76227,100.47196
The Room สาทร-ตากสิน,8016312,,67,,,2,2,,,13.71774,100.48349
,4300000,,29,,0,1,,0,,13.750497,100.563824
เดอะ เครสท์ สุขุมวิท 34,9580000,,36,,,1,1,,,13.72529,100.5765
ไอดีโอ คิว ราชเทวี,6200000,,34,,0,1,,0,,13.75286,100.534496
,,,105,,,3,,,,13.70207,100.537059
,4950000,,28,,,1,1,,1,,
,17157400,,66,,11,1,,1,,13.727333,100.509291
,3400000,,28,,0,1,,0,,13.712349,100.600404
เดอะ เครสท์ สุขุมวิท 49,5317520,,34,,,,,,,13.73044,100.57707
แอชตัน อโศก,8200000,,35,,,1,1,,,13.7391,100.561
เอควา สุขุมวิท 49,12000000,,55,,0,1,,0,,13.727569,100.575252
ไอดีโอ คิว จุฬา-สามย่าน,4350000,,22,,12,1,,1,,13.733499,100.526769
,2790000,,33,,10,1,,1,,13.713948,100.468178
,4450000,,26,,,1,1,,,13.79052,100.54609
เดอะ ซิกเนเจอร์ บาย เออร์บาโน่,15500000,,85,,,,,,,13.79288,100.54918
ทรีคอนโด เอกมัย,11069124,40000,88,,,2,2,,,13.715996,100.583542
,3370500,,,,0,1,,0,,13.684282,100.605085
ออนิกซ์ พหลโยธิน,6380000,25000,40,,,1,1,,,13.7914,100.549
,11760000,,63,,,1,1,,,13.750116,100.544488
ริทึ่ม รัชดา,5670000,,47,,,1,1,,,13.79875,100.57586
,6380000,,30,,,,1,,,13.731223,100.585851
,24000000,70000,140,,,2,2,,,13.7396,100.548
,5370000,,35,,29,1,,0,,13.750497,100.563824
,27000000,,273,,,3,3,,,,
,1850000,,30,,4,1,,0,,13.76415,100.654108
,14450000,,70,,,2,2,,,13.731223,100.585851
,13742965,55000,73,,,1,1,,,13.72324,100.56682
ไลฟ์ อโศก-พระราม 9 ,4440000,,32,,,1,1,,,,
ไอดีโอ บลูโคฟ สาทร,6914069,28000,68,,,2,2,,,13.72197,100.49581
,19040000,55000,140,,0,2,,0,,13.741131,100.549816
