CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,3900000,,42,,0,1,,0,,13.70669,100.600406
ไฮฟ์สุขุมวิท 65,6342600,,52,,,1,1,,,13.72067,100.5882
ริทึ่ม อโศก 2,4570000,,29,,,1,1,,,13.75427,100.56447
ไอดีโอ โมบิ อโศก,10260000,,55,,,,,,,13.70427,100.60203
ฮาสุ เฮาส์,4790000,,38,,0,1,,0,,13.713856,100.599985
ไลฟ์ ปิ่นเกล้า,3990000,,35,,,,,,,13.77656,100.48511
,21600000,,71,,,2,2,,,13.7197,100.522
,7500000,,38,,1,1,,0,,13.742934,100.56199
เดอะ คีย์ อุดมสุข,2821541,,31,,,1,1,,,13.67455,100.65278
เซ็นทริค ห้วยขวาง สเตชั่น,4290000,,31,,,1,1,,,13.78032,100.57402
,25350000,120000,150,,0,3,,0,,13.72824,100.568202
,8000000,28000,39,,11,1,,1,,13.721175,100.579126
ไอดีโอ โมบิ อโศก,9185000,,45,,0,1,,0,,13.756397,100.565865
ริทึ่ม สุขุมวิท 36 – 38,6112046,,33,,,1,1,,,13.72161,100.57689
,4712088,20000,33,,,1,1,,,13.724347,100.582134
,22500000,70000,81,,,2,2,,,13.7319,100.571
ไลฟ์ อโศก-พระราม 9 ,5130000,,35,,,1,1,,,13.755352,100.564598
,5350000,,28,,,1,1,,1,,
,3199511,,29,,,,1,,,13.789903,100.570189
เอ็ม จตุจักร,4650000,,32,,,1,1,,,13.79722,100.55169
,22000000,,165,,0,3,,1,,13.71039,100.500848
ไอดีโอ คิว จุฬา-สามย่าน,7240000,,34,,,,,,,13.73336,100.5267
,9900000,,47,,0,1,,0,,13.806566,100.55624
,24650000,,86,,,2,2,,,,
ซิตี้โฮม ท่าพระ,3290000,10000,48,,,1,1,,,13.7285,100.474
,6300000,20000,32,,,1,1,,,13.806,100.557
,14800000,,50,,,1,1,,,13.73221,100.570894
,10100000,,49,,,1,1,,1,,
,38000000,,168,,,4,4,,,13.770344,100.484891
,3539980,,27,,,1,1,,,13.80565,100.52647
,6950000,,70,,,2,2,,,13.741124,100.557866
ริทึ่ม สุขุมวิท 44/1,9426119,45000,51,,,2,1,,,13.71548,100.59057
,5800000,,36,,,1,1,,,,
ควอทโทร บาย แสนสิริ,12800000,55000,54,,,1,1,,,13.7275,100.582
วินเซนเต้ สุขุมวิท 49,8100000,,63,,,1,1,,1,,
ออนิกซ์ พหลโยธิน,6930000,,41,,,1,1,,,13.7914,100.549
เอช สุขุมวิท 43,7672421,37500,43,,,1,1,,,13.73277,100.57401
แอสปาย พระราม 4,2431448,13000,28,,,1,1,,,13.71219,100.58449
คอนโดเลต ไอซ์ ราชเทวี,6100000,,31,,,,1,,,13.7534,100.531
,4100000,,33,,10,1,,0,,13.756573,100.561064
ไฮด์ สุขุมวิท,23000000,60000,113,,,2,2,,,13.74035,100.55729
,21300000,75000,84,,0,2,,0,,13.740929,100.557313
,2465000,14000,29,,0,1,,0,,13.712925,100.582644
,2304690,11000,35,,,,1,,,13.69997,100.53598
,3680000,,30,,,1,1,,,13.740174,100.589806
,26000000,,422,,2,3,,0,,13.7324,100.570999
,6743000,,30,,0,1,,1,,13.725505,100.565748
,10370000,45000,170,,0,3,,0,,13.702481,100.593883
,4500000,19000,31,,,1,1,,,13.7128,100.594
ไลฟ์ แอท พหล-อารีย์,3798259,,38,,,1,1,,,13.78937,100.54757
,4309000,20000,31,,0,1,,0,,13.706586,100.601135
ไบร์ท วงเวียนใหญ่,4334821,,35,,,1,1,,,13.719547,100.490703
,9000000,,70,,2,1,,0,,13.720781,100.528593
ไลฟ์ อโศก,5245676,,35,,,1,1,,,13.75064,100.56436
,4680000,20000,37,,0,1,,1,,13.756638,100.568126
,6400000,,46,,0,1,,0,,13.739273,100.55039
เดอะ เครสท์ สุขุมวิท 34,11040000,40000,46,,0,1,,0,,13.725448,100.576538
เซ็นทริคซีน อารีย์ 2,9630000,40000,90,,0,2,,0,,13.785994,100.546192
,21000000,,128,,0,2,,0,,13.729356,100.562093
,10000000,,51,,,1,1,,,13.728369,100.571015
,6690000,,30,,,,1,,,13.731223,100.585851
ศุภาลัย ริเวอร์ รีสอร์ท,11900000,,126,,,2,2,,,13.7079,100.496
,8700000,,88,,0,2,,0,,13.779867,100.542025
,30500000,,95,,,2,,,,13.739097,100.543024
,3600000,11000,30,,,1,1,,,13.7481,100.605
,35000000,,193,,28,3,,0,,13.729356,100.562093
คิว หลังสวน,20647200,85000,84,,0,2,,0,,13.739067,100.542914
นารา ไนน์,7240000,,39,,,1,1,,,13.718572,100.534138
,15675000,50000,95,,0,2,,0,,13.722028,100.534139
,10500000,,66,,0,2,,0,,13.717416,100.533136
ศุภาลัย เวลลิงตัน ,7280000,30000,77,,0,2,,0,,13.767609,100.573782
ไอดีโอ โมบิ อโศก,4530000,,26,,,,1,,,13.70427,100.60203
,12500000,,78,,46,2,,1,,13.687281,100.518025
,34000000,110000,110,,,3,3,,,13.7275,100.582
,4500000,,29,,,1,1,,,13.750507,100.563889
เดอะ เบส สุขุมวิท 77,4060000,20000,36,,,1,1,,,13.7108,100.602
,3650000,,47,,0,1,,1,,13.767609,100.573782
ไลฟ์ อโศก,5418526,,35,,,1,1,,,13.75064,100.56436
,32505000,130000,197,,0,3,,0,,13.722028,100.534139
,7030000,,50,,,2,2,,,13.695005,100.60354
,16000000,,190,,0,3,,0,,13.734342,100.57182
,9270000,,35,,,1,1,,,13.7389,100.560898
โนเบิล โซโล,5750000,25000,46,,0,1,,0,,13.740159,100.585009
ชีวาทัยอินเตอร์เชนจ์ ,7990000,,69,,,2,2,,,13.8062,100.53
,37310000,,287,,,,,,,13.738121,100.53699
,3800000,,50,,0,2,,0,,13.703803,100.600169
,6950000,,38,,,1,1,,1,,
ไลฟ์ อโศก-พระราม 9 ,3270000,,25,,,,1,,,,
แอสปาย พระราม 4,4454400,28000,48,,0,2,,0,,13.712224,100.584489
,5888000,,66,,,2,,,,,
,2890000,,38,,8,1,,1,,13.787252,100.572104
,4290000,,29,,0,1,,0,,13.750497,100.563824
,7500000,,45,,0,2,,0,,13.705196,100.602568
,7800000,,33,,,1,1,,,13.7311,100.531
,18385000,,85,,,2,2,,,13.687065,100.514114
,8539900,35000,47,,0,1,,0,,13.722657,100.525396
,13500000,60000,61,,0,1,,0,,13.727569,100.575252
ศุภาลัย เอลีท แอท พญาไท,8115404,,61,,,,2,,,13.75699,100.53922
,17600000,68000,110,,0,2,,0,,13.733309,100.560361
ไลฟ์ อโศก,5200000,,35,,,1,1,,,13.750507,100.563889
,6100000,,42,,0,1,,0,,13.735159,100.55792
ไลฟ์ อโศก-พระราม 9 ,8950000,,58,,,2,2,,,,
,2350000,,31,,6,1,,0,,13.821324,100.554128
,6900000,,47,,0,1,,0,,13.749554,100.561961
,6400000,,27,,,1,1,,,,
,8100000,,28,,,1,1,,,13.725513,100.566203
