CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
ศาลาแดง วัน,39000000,,113,,,2,2,,,13.7267,100.541
ฮาสุ เฮาส์,8969000,,62,,0,2,,1,,13.713856,100.599985
,45000000,138000,126,,45,3,,1,,13.723074,100.566336
บ้านสวนเพชร,26693066,85000,129,,,3,3,,,13.73169,100.57094
,4580000,,24,,0,1,,1,,13.756397,100.565865
มายรีสอร์ท บางกอก,7800000,,68,,,,,,,13.74838,100.56662
บ้านสิริฤดี,16670000,55000,89,,,2,2,,,13.74125,100.54981
,32000,,38,,,1,1,,,13.748244,100.562727
โฟกัส เพลินจิต,8820000,40000,60,,0,2,,0,,13.73856,100.552074
เดอะ ซี้ด เมมโมรี่ สยาม,6250000,,37,,,1,1,,,13.74788,100.52831
เซอร์เคิล คอนโดมิเนียม,13500000,,75,,,2,2,,,13.749715,100.555962
,9450000,,33,,,1,1,,,13.719733,100.522404
,37000000,,272,,0,2,,2,,13.723571,100.604365
ไอดีโอ โมบิ สุขุมวิท อีสท์เกต,4000000,,30,,0,1,,0,,13.668217,100.614025
,10000000,,85,,,2,2,,,13.748202,100.544949
,40500000,,162,,0,3,,0,,13.73329,100.572901
,6375000,,33,,21,1,,1,,13.73116,100.530992
ไลฟ์ อโศก,3865422,,29,,,1,1,,,13.75064,100.56436
ริทึ่ม อโศก,7230000,,42,,,2,1,,,13.75427,100.56447
แอสปาย รัชดา–วงศ์สว่าง,2270620,,26,,,1,1,,,13.83074,100.52531
,1690000,,28,,2,1,,0,,13.889929,100.585355
,7929626,,56,,,2,2,,,,
,16500000,,102,,0,3,,0,,13.736895,100.556131
,5060000,28000,55,,0,1,,0,,13.738885,100.585563
,7900000,,39,,0,11,,1,,13.742934,100.56199
ไลฟ์ อโศก-พระราม 9 ,3770000,,28,,,,1,,,,
,5800000,,55,,0,1,,1,,13.721454,100.50476
,49500000,,,,,9,9,,,,
,7600000,28000,28,,29,1,,1,,13.725516,100.566202
โนเบิล บี 33 สุขุมวิท,11300000,,43,,,1,1,,,13.73536,100.56752
ไลฟ์ อโศก-พระราม 9 ,6140000,,40,,,1,1,,,,
เดอะ ไลน์ จตุจักร-หมอชิต,7080000,,35,,,1,1,,,13.8062,100.5562
ควอทโทร บาย แสนสิริ,24000000,,90,,,2,2,,1,,
แอสปาย สุขุมวิท 48,3100000,,32,,,1,1,,1,,
,20000000,70000,134,,0,3,,1,,13.7527,100.533035
,2100000,,31,,0,1,,0,,13.664855,100.63713
แอชตัน อโศก,9520000,,35,,,1,1,,,13.73701,100.56039
โนเบิล รีวีล,15000000,68000,90,,0,2,,1,,13.721543,100.58517
วิทยุคอมเพล็กซ์,15600000,,155,,,3,3,,,13.7487,100.549
เวีย โบทานิ,8800000,,47,,,,,,,13.7315,100.57493
ไฮด์ สุขุมวิท,12000000,,58,,20,1,,1,,13.740929,100.557313
,7100000,,51,,0,1,,0,,13.729839,100.576286
,19950000,,87,,,2,2,,,13.7468,100.563
,3310453,,,,0,1,,0,,13.684282,100.605085
ดิ แอดเดรส อโศก,7611488,28000,45,,,1,1,,,13.74951,100.56198
เลอ โคเต้ ทองหล่อ 8,4620000,,31,,0,1,,1,,13.731037,100.582645
โนเบิล รีโว สีลม,8270000,,55,,,1,1,,,13.71951,100.51949
ริทึ่ม สุขุมวิท 42,11948000,,56,,33,2,,1,,13.717443,100.584585
คลาส สีลม,5400000,,33,,6,1,,1,,13.725554,100.53145
,11160000,,42,,,1,1,,,13.724442,100.580397
,4300000,,40,,,1,1,,1,,
,6150000,28000,58,,,2,2,,,13.7204,100.493
,20900000,,256,,0,4,,0,,13.739322,100.567576
,4100000,,33,,0,1,,0,,13.782965,100.574577
,12000000,,55,,,1,1,,,13.727727,100.575104
เดอะ เครสท์ สุขุมวิท 49,6130000,,34,,,,,,,13.73044,100.57707
,8800000,28000,50,,0,2,,1,,13.721547,100.502247
,14500000,,47,,,1,1,,,13.743762,100.548608
,6270000,,35,,,1,1,,,13.7558,100.564
แอสปาย สาทร-ท่าพระ,3168929,,31,,,1,1,,,13.71501,100.47866
มายคอนโด สุขุมวิท 81,3150000,,35,,5,1,,1,,13.705366,100.603902
,11920000,,44,,,1,1,,,13.743491,100.548409
,6000000,,112,,0,3,,0,,13.737529,100.55101
อมันตา ลุมพินี,7760400,35000,58,,0,1,,0,,13.723324,100.550812
,7725000,,37,,,1,1,,,13.722574,100.580226
,6960000,,35,,,1,1,,,13.731223,100.585851
,69000000,,,,0,4,,0,,13.726403,100.584208
ไลฟ์ อโศก-พระราม 9 ,3930000,,28,,,,1,,,13.755352,100.564598
,5350000,,28,,,1,1,,1,,
ชีวาทัยอินเตอร์เชนจ์ ,5630000,,52,,,2,2,,,13.8062,100.53
เดอะ พาร์คแลนด์ เพชรเกษม – ท่าพระ,2280000,,26,,,,,,,13.72839,100.47795
,8900000,,123,,0,4,,0,,13.740614,100.570979
,1390000,,26,,8,1,,0,,13.776295,100.662336
,3300000,,29,,,1,,,,13.71548,100.584601
เดอะ เทรนดี้ คอนโดมิเนียม,4320000,,36,,0,1,,1,,13.741124,100.557866
,3850000,,28,,,1,1,,,13.692,100.608
,9100000,,45,,,1,1,,,13.725554,100.53145
ไอดีโอ โมบิ อโศก,6200000,,35,,,1,1,,,13.7485,100.566
,5380000,,57,,,1,1,,,13.7475,100.558
,1490000,,28,,,1,1,,,13.706195,100.604975
,12500000,,96,,,2,2,,,13.72655,100.508356
,9630000,,56,,,1,1,,1,,
,5770000,,50,,,1,1,,,13.742981,100.570993
,9500000,,51,,1,1,,1,,13.722752,100.579634
,7050000,,35,,23,1,,0,,13.75162,100.535178
,13700000,,63,,,2,2,,,13.740615,100.556306
ไลฟ์ อโศก,5200000,,35,,,1,1,,,13.750507,100.563889
เอ็ม จตุจักร,5170000,,32,,,1,1,,,13.79722,100.55169
,7942000,35000,38,,0,1,,0,,13.748806,100.563073
,25350000,120000,150,,0,3,,0,,13.72824,100.568202
เอช สุขุมวิท 43,10700000,,59,,0,2,,0,,13.732527,100.573972
,11025000,50000,105,,0,2,,0,,13.71039,100.500848
แอชตัน สีลม,220400000,,76,,0,2,,0,,13.726016,100.526983
,47250000,,135,,0,2,,0,,13.730964,100.5708
แมนฮัตตัน ชิดลม,9800000,,89,,0,2,,1,,13.749366,100.543323
เดอะ ดิโพลแมท 39,19208122,,57,,,1,1,,,13.731524,100.570693
ไลฟ์ รัชดาภิเษก,4500000,18000,42,,0,1,,1,,13.783397,100.574591
ไอดีโอ โมบิ อโศก,10976500,,55,,0,2,,0,,13.756397,100.565865
,3400000,,47,,0,2,,0,,13.752351,100.610627
ลุมพินี วิลล์ ประชาชื่น-พงษ์เพชร 2,2495730,,30,,,1,1,,,13.84562,100.54225
แอสปาย พระราม 4,4165028,,37,,,1,1,,,13.71219,100.58449
สตาร์วิว พระราม 3,15909068,,82,,,2,2,,,13.68743,100.51799
วายน์ สุขุมวิท,4532000,,42,,0,1,,0,,13.713111,100.594478
,13500000,,53,,,1,1,,,13.7253,100.576497
โนเบิลโอร่า,14500000,,115,,0,2,,0,,13.736292,100.584636
