CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,4600000,,38,,,1,1,,,13.71118,100.593972
โนเบิล โซโล,8750000,40000,70,,0,1,,0,,13.740159,100.585009
,7460000,,35,,,1,1,,,13.731223,100.585851
ริทึ่ม อโศก 2,4592845,,27,,,1,1,,,13.75427,100.56447
,2550000,15000,30,,0,1,,0,,13.712925,100.582644
แอสปาย สาทร-ท่าพระ,2929059,,31,,,1,1,,,13.71501,100.47866
,49500000,,250,,,5,5,,,13.713996,100.599425
ควินน์ คอนโด รัชดา17,5273586,20000,36,,,1,1,,,13.78633,100.57322
แอสปาย สาทร-ท่าพระ,3135190,,30,,,1,1,,,13.71501,100.47866
,11424000,65000,68,,0,2,,0,,13.722707,100.580362
คิวเฮ้าส์คอนโด สุขุมวิท 79,6932607,28000,44,,,2,1,,,13.70759,100.60064
,17500000,75000,85,,,2,2,,,13.7275,100.582
นิมิตร หลังสวน,30700000,,90,,,2,2,,,13.7346,100.542
,7250000,,62,,20,1,,1,,13.69031,100.547818
,5900000,,31,,0,1,,0,,13.740929,100.557313
,3400000,,34,,0,1,,0,,13.743889,100.56179
ดีคอนโด อ่อนนุช-สุวรรณภูมิ,1660000,,30,,,,1,,,13.7213,100.721
แอชตัน อโศก,8549000,,36,,0,1,,0,,13.738886,100.561535
,3000000,,35,,,1,1,,,,
,34402000,,125,,2,3,,1,,13.725511,100.576342
,29000000,120000,270,,7,3,,2,,13.724621,100.58278
,6500000,30000,34,,2,1,,0,,13.720807,100.578825
,13500000,,69,,,2,2,,1,,
เดอะ ไลน์ ราชเทวี,10780000,,35,,,,,,,13.8062,100.5562
แอชตัน อโศก,8816613,,34,,,1,1,,,13.7391,100.561
,53228000,,137,,0,2,,1,,13.731168,100.570808
เอดจ์ สุขุมวิท 23,7987133,,32,,,1,1,,,13.73963,100.56309
,7850000,,34,,12,1,,0,,13.738886,100.561535
,12550000,42000,61,,,2,2,,,13.806,100.557
,12000000,,118,,,3,3,,,,
,18000000,75000,76,,,2,2,,,13.7249,100.577
,3350000,19000,50,,0,1,,0,,13.706776,100.592533
เซเรเน่ เพลส สุขุมวิท 24,11500000,,80,,,2,2,,1,,
,12000000,,150,,0,2,,0,,13.738587,100.553888
,11800000,,75,,0,2,,1,,13.735018,100.562227
เอดจ์ สุขุมวิท 23,7500000,25000,33,,,1,1,,,13.7391,100.563
ยู ดีไลท์ @ ตลาดพลู สเตชั่น,18600000,,61,,,1,1,,,13.70985,100.47951
,11400000,,66,,0,2,,0,,13.717832,100.532706
,32659793,,160,,27,3,,0,,13.706227,100.506283
แอสปาย พระราม 4,2642878,,28,,,1,1,,,13.71219,100.58449
แอชตัน อโศก,8890000,,34,,,,,,,13.73701,100.56039
,14360260,,49,,40,1,,1,,13.726016,100.526983
ไอดีโอ คิว จุฬา-สามย่าน,6167600,,34,,,1,1,,,13.73336,100.5267
,4890000,,29,,3,1,,1,,13.725644,100.57042
โนเบิล รีโว สีลม,5070000,,34,,,1,1,,,13.71951,100.51949
แอสปาย สาทร-ท่าพระ,3036697,,31,,,1,1,,,13.71501,100.47866
,8639000,,38,,0,1,,0,,13.725516,100.566202
,5950000,,70,,0,2,,1,,13.756331,100.501765
เดอะ ซิกเนเจอร์ บาย เออร์บาโน่,15000000,,85,,,,,,,13.79288,100.54918
ไอวี แอมพิโอ,7611488,,43,,,1,1,,,13.7629,100.56828
,5548000,28000,76,,0,2,,0,,13.724754,100.58205
ลา วี ออง โรส เพลส,20900000,,174,,,3,3,,,13.722,100.577
,4990000,,34,,,1,1,,,13.7158,100.575
,5200000,,70,,0,1,,0,,13.738587,100.553888
,12900000,,115,,0,3,,0,,13.723859,100.529832
ดิ แอดเดรส สาทร,15000000,,80,,0,2,,0,,13.722657,100.525396
,1250000,,31,,3,1,,0,,13.888212,100.600278
,3490000,,27,,,,1,,,13.6987,100.605
,8007919,25000,42,,,,1,,,13.74793,100.54578
,2989623,,39,,,1,1,,,,
เดอะ ซี้ด มูซี่,5300000,,38,,0,1,,1,,13.72569,100.569984
,23000000,,168,,,3,,,,13.72312,100.509223
,3350713,,43,,,1,1,,,,
เดอะ ลุมพินี 24,7000000,,31,,,1,1,,1,,
,15300000,,170,,,4,3,,,13.725,100.582
,4300000,22000,39,,27,1,,1,,13.75512,100.576281
The Room สุขุมวิท 21,19802800,80000,124,,0,2,,0,,13.743653,100.561327
,6700000,19000,32,,,1,1,,,13.806,100.557
เดอะ ไลน์ อโศก-รัชดา,5710000,,34,,,1,1,,,13.7558,100.564
,21500000,,,,2,2,,0,,13.71863,100.520493
,10000000,,162,,0,4,,0,,13.730266,100.579308
ออนิกซ์ พหลโยธิน,6450000,,43,,18,1,,1,,13.791437,100.548636
,7800000,,33,,,1,1,,,13.72273,100.577988
เดอะ ริเวอร์,20000000,,110,,0,3,,0,,13.720439,100.509914
,7950000,,38,,,1,,,,13.74858,100.563102
