CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,10000000,,87,,,1,1,,,13.731574,100.561418
,2300000,,26,,5,1,,0,,13.804767,100.570013
ริทึ่ม รางน้ำ,11906146,,62,,,2,2,,,13.76104,100.53706
,20000000,,158,,0,4,,0,,13.719527,100.531072
,12000000,36000,79,,,1,1,,,13.722609,100.538679
ไลฟ์ อโศก,4338846,,29,,,1,1,,,13.75064,100.56436
ไซมิส สุรวงศ์,11099592,,73,,0,2,,0,,13.729786,100.527884
,4800000,,64,,0,2,,1,,13.706776,100.592533
,9804952,,43,,,1,1,,,13.73725,100.56277
เดอะ เทรนดี้ คอนโดมิเนียม,3605000,,35,,0,1,,0,,13.741124,100.557866
,4460000,,29,,,1,1,,,13.750507,100.563889
,8820000,35000,49,,0,1,,0,,13.739993,100.55125
,7368900,,45,,0,1,,0,,13.728108,100.575339
,7600000,28000,28,,29,1,,1,,13.725516,100.566202
ริเวอไรน์ เพลส คอนโดมิเนียม,12000000,,158,,,3,3,,,13.8285,100.501
แอสปาย สุขุมวิท 48,5292000,26000,54,,0,2,,0,,13.711258,100.593974
,11200000,,34,,,1,1,,,13.7391,100.561
,5500000,,63,,,,1,,,,
,9700000,,46,,,1,,,,13.722475,100.524503
ไลฟ์ อโศก-พระราม 9 ,3570000,,28,,,,1,,,13.755352,100.564598
,65000000,,290,,0,5,,0,,13.729641,100.571649
,17800000,75000,155,,0,3,,0,,13.726547,100.567412
,10780000,47000,67,,,1,1,,,13.7398,100.541
,18000000,,80,,0,1,,1,,13.729836,100.581409
,1990000,,31,,,1,1,,,13.760335,100.546686
,3490000,,35,,0,1,,0,,13.755257,100.575079
เดอะ เบส สุขุมวิท 77,3334786,,30,,,1,1,,,13.71095,100.60234
คอนโดเลต ไอซ์ ราชเทวี,8440000,,47,,,1,1,,,13.75338,100.53094
,4272000,,26,,,1,1,,,13.7906,100.546
เอควา สุขุมวิท 49,24000000,,96,,,2,2,,,13.7276,100.575
ไดมอนด์ รัชดา คอนโดมิเนียม,5191000,,59,,,1,,,,13.78736,100.57683
,8800000,34800,68,,55,2,,1,,13.788633,100.545264
ควอทโทร บาย แสนสิริ,21500000,70000,81,,,2,2,,,13.7275,100.582
โคเรสซิโอ สาทร-พิพัฒน์,6900000,,41,,0,1,,0,,13.723325,100.531892
,28800000,100000,180,,0,3,,0,,13.733309,100.560361
,4120000,,26,,,,,,,13.817434,100.562714
เดอะ เพรสซิเดนท์ สาทร-ราชพฤกษ์ 3,2940000,,35,,,1,1,,,13.72057,100.45872
วิช ซิกเนเจอร์ มิดทาวน์ สยาม,8520000,,47,,,2,1,,,13.752198,100.534716
,4500000,,66,,,2,2,,,13.835654,100.544533
,8816000,45000,76,,0,2,,0,,13.712821,100.594265
แอสปาย รัชดา–วงศ์สว่าง,3900000,,46,,6,2,,0,,13.830619,100.525299
,8540000,,33,,0,1,,0,,13.73116,100.530992
,48000000,,126,,0,3,,0,,13.735109,100.539146
,11330000,,102,,,1,2,,,13.73787,100.555366
ศุภาลัยไลท์ สาทร-เจริญราษฎร์,4080000,,49,,,1,1,,,13.7014,100.5165
,16220000,,61,,18,1,,1,,13.727333,100.509291
,23000000,,145,,0,3,,0,,13.729356,100.562093
,8000000,,69,,11,2,,0,,13.71282,100.594264
เอ็มบาสซี่ เพลส แบริ่ง 45,2480000,,32,,,,,,,,
เดอะ ไลน์ จตุจักร-หมอชิต,6200000,,34,,,1,1,,,13.8062,100.5562
,4900000,,30,,,1,,,,13.75387,100.564943
,8500000,32000,80,,24,2,,1,,13.748473,100.565678
,5640000,,54,,0,2,,0,,13.704523,100.596457
ไลฟ์ อโศก,5245676,,35,,,1,1,,,13.75064,100.56436
ริทึ่ม อโศก,5370696,,31,,,1,1,,,13.75427,100.56447
เอดจ์ สุขุมวิท 23,9804952,45000,42,,,1,1,,,13.73963,100.56309
,11780000,,44,,,1,1,,,13.724442,100.580397
สกาย วอล์ค คอนโดมิเนียม,8700000,55000,53,,19,1,,1,,13.714246,100.593478
,12900000,,56,,,1,1,,,13.743762,100.548609
,15040000,,64,,0,1,,0,,13.70866,100.533325
เดอะ ไลน์ พหลโยธิน-ประดิพัทธ์,5150180,,34,,,1,1,,,13.79052,100.54609
ไนท์บริดจ์ ไพร์ม สาทร,5530000,,37,,,,,,,13.7168,100.53313
,10000000,,74,,,2,,,,13.749902,100.552736
ลุมพินี วิลล์ ประชาชื่น-พงษ์เพชร 2,1900000,,30,,7,1,,1,,13.756046,100.501878
ดิ เอส สุขุมวิท 36,15780812,,43,,,1,1,,,,
แอสปาย สาทร-ท่าพระ,2920843,,30,,,1,1,,,13.71501,100.47866
,38500000,,111,,0,2,,0,,13.732996,100.581806
โว๊ค สุขุมวิท 16,5500000,,50,,,1,1,,1,,
,5765000,,59,,0,1,,0,,13.738575,100.578188
ไซมิส สุรวงศ์,16621443,,87,,,2,2,,,13.7298,100.528
ไลฟ์ อโศก-พระราม 9 ,5100000,,35,,,1,1,,,13.755352,100.564598
วัน ทองหล่อ สเตชั่น,5621990,,50,,,1,1,,,13.72174,100.58067
แอชตัน สีลม,14389541,,49,,,1,1,,,13.7261,100.52695
ดีคอนโด อ่อนนุช-สุวรรณภูมิ,3000000,,60,,,1,2,,,13.7213,100.721
สกาย วอล์ค คอนโดมิเนียม,5180000,24000,37,,0,1,,0,,13.714292,100.593536
,14040000,,252,,,3,3,,,13.73737,100.58968
,60000000,,251,,,,,,,13.745883,100.545661
เดอะ ไลน์ สุขุมวิท 71,5300000,,31,,,1,1,,,13.7154,100.59479
,13000000,,165,,11,2,,1,,13.68744,100.51027
,34000000,,318,,0,3,,0,,13.734059,100.561327
,19710000,,77,,0,2,,1,,13.73329,100.572901
คีนน์ บาย แสนสิริ,22000000,,82,,,2,2,,,13.7249,100.577
,10300000,,110,,3,2,,1,,13.735336,100.57352
,6230000,,30,,,,1,,,13.72247,100.58455
ริทึ่ม สุขุมวิท 42,7725000,,45,,,1,1,,,13.7178,100.585
,1965000,8500,30,,,,1,,,13.7302,100.7
เดอะ ดิโพลแมท สาทร,13100000,,52,,,1,1,,,13.7198,100.522
ริทึ่ม สุขุมวิท 36 – 38,6130674,,33,,,1,1,,,13.72161,100.57689
,4100000,15000,30,,,1,1,,,13.7136,100.601
,3300000,,48,,7,1,,0,,13.786704,100.572426
ซีล บาย แสนสิริ,3580000,,35,,,1,1,,,13.7304,100.588
,7399000,,70,,,2,2,,,,
ริทึ่ม รางน้ำ,7379416,,35,,,1,1,,,13.76104,100.53706
,8900000,,118,,0,2,,2,,13.776794,100.497342
,3300000,,26,,,1,,,,13.770881,100.57452
,10900000,,96,,1,2,,0,,13.740424,100.572748
ริทึ่ม อโศก 2,4849770,,27,,,,1,,,13.75427,100.56447
,9890000,37000,68,,,2,2,,,13.7139,100.602
,5400000,,34,,,1,1,,,13.7906,100.546
,11000000,,80,,0,2,,0,,13.730933,100.586379
แอสปาย สุขุมวิท 48,5600000,24000,55,,22,2,,1,,13.711287,100.594074
,5500000,,40,,0,1,,0,,13.739152,100.582745
,10500000,,65,,,1,1,,1,,
