CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,45000000,85000,152,,,2,,,,,
,5310807,,34,,,1,1,,,13.72679,100.53718
ไนท์บริดจ์ ไพร์ม สาทร,6400000,,31,,,1,1,,,13.7168,100.53313
,2170000,,26,,6,1,,1,,13.786518,100.571748
,11500000,,230,,,2,,,,,
The Room พระราม 4,,,86,,0,2,,1,,13.736126,100.521059
,6500000,,28,,,1,1,,,13.743056,100.548848
ดิ เอ็มไพร์ เพลส สาทร,33000000,100000,212,,38,3,,1,,13.70832,100.520102
เรนทรีวิลล่า,2980000,14000,34,,0,1,,1,,13.731978,100.578279
เอดจ์ สุขุมวิท 23,8260000,,43,,,1,1,,,13.73963,100.56309
เอควา สุขุมวิท 49,11500000,,61,,0,1,,0,,13.727569,100.575252
ไลฟ์ อโศก-พระราม 9 ,3430000,,28,,,,1,,,,
ไบร์ท สุขุมวิท 24,60000,,73,,,1,1,,1,,
,5500000,,42,,,1,,,,13.760082,100.569406
,2350000,,44,,2,1,,0,,13.709201,100.450788
ควอทโทร บาย แสนสิริ,16575000,75000,75,,0,2,,0,,13.727393,100.581584
เดอะ ไลน์ อโศก-รัชดา,6700000,,36,,,1,1,,,13.7558,100.564
,4450000,,45,,3,1,,0,,13.799948,100.573327
,34800000,,370,,,3,3,,,13.725966,100.567158
,7121491,,35,,,1,1,,,13.72247,100.58455
,19000000,65000,76,,28,2,,0,,13.740929,100.557313
,1700000,,26,,3,1,,0,,13.708827,100.382962
เดอะ รูม สุขุมวิท 69 ,7500000,,45,,7,1,,1,,13.71477,100.592158
วิช ซิกเนเจอร์ มิดทาวน์ สยาม,7124392,,34,,,1,1,,,13.75198,100.53469
,9200000,,57,,0,2,,0,,13.733852,100.571121
แอสปาย พระราม9,4000000,15000,33,,,1,1,,,13.7546,100.567
,9800000,,81,,,2,2,,,13.748587,100.561531
วิสซ์ดอม ดิ เอ็กซ์คลูซีฟ,5995200,,77,,5,2,,1,,13.68947,100.606571
แอสปาย สาทร-ท่าพระ,,15000,31,,,1,1,,,13.71501,100.47866
ไอดีโอ โมบิ อโศก,6900000,,35,,26,1,,0,,13.756397,100.565865
บางกอกริเวอร์มารีน่า,15000000,,151,,7,2,,1,,13.788031,100.504325
,3600000,,35,,,1,1,,,,
,5159400,,36,,,1,1,,,13.7558,100.564
ดิ อินฟินิตี้,31750000,,141,,0,2,,0,,13.724156,100.528842
สกาย วอล์ค คอนโดมิเนียม,8800000,,55,,15,1,,1,,13.714246,100.593478
,35950000,,161,,0,3,,2,,13.723319,100.566608
โนเบิล รีโว สีลม,5340000,,34,,,1,1,,,13.71951,100.51949
เดอะ สกาย สุขุมวิท,2900000,12000,31,,0,1,,1,,13.675547,100.608005
แอสปาย สุขุมวิท 48,5880000,,55,,0,2,,0,,13.71118,100.593972
,2300000,,31,,17,1,,1,,13.822625,100.532683
,57200000,120000,400,,0,4,,0,,13.751037,100.532598
,5974000,,45,,,1,1,,,13.695616,100.605417
แอสปาย สุขุมวิท 48,3850000,,38,,0,1,,0,,13.711258,100.593974
,6900000,,70,,0,2,,0,,13.721736,100.588854
,3193000,14000,34,,10,1,,0,,13.674478,100.533173
,3500000,,63,,0,2,,0,,13.714803,100.552232
,4890000,,27,,,1,1,,,13.752198,100.534716
,3100000,,32,,0,1,,0,,13.797599,100.556017
เดอะ ไลน์ จตุจักร-หมอชิต,11217587,,61,,,2,2,,,13.8062,100.5562
,19950000,,87,,,2,2,,,13.7468,100.563
แอสปาย สาทร-ท่าพระ,,20000,31,,,1,1,,,13.71501,100.47866
ดิ แอดเดรส อโศก,12580000,65000,85,,0,2,,0,,13.749554,100.561961
แอสปาย สุขุมวิท 48,3430000,22000,35,,0,1,,0,,13.711258,100.593974
แอชตัน จุฬา-สีลม,7910000,,35,,,1,1,,,13.731102,100.531009
ริทึ่ม อโศก 2,4242097,,28,,,1,1,,,13.75427,100.56447
เดอะ ไลน์ ราชเทวี,19495856,,80,,,2,2,,,13.8062,100.5562
,6060000,,30,,,,1,,,13.731223,100.585851
แอชตัน จุฬา-สีลม,6810000,,31,,,1,1,,,13.731102,100.531009
,11310000,,63,,,2,2,,,13.747797,100.548437
,3400000,,26,,,1,,,,13.80654,100.52638
,6795000,,124,,0,2,,0,,13.702192,100.544423
,8400000,,43,,,1,1,,,13.737176,100.583546
,6332000,,28,,0,1,,0,,13.725516,100.566202
ไลฟ์ อโศก,4390000,,29,,,1,1,,,13.750507,100.563889
,8100000,,39,,0,1,,0,,13.748806,100.563073
,15400000,,90,,0,2,,0,,13.729309,100.562453
ไลฟ์ อโศก,5570000,,35,,,1,1,,,13.750507,100.563889
เดอะ ไลน์ สุขุมวิท 71,5200000,20000,30,,,1,1,,,13.715,100.595
,15840157,,44,,,1,1,,,13.746768,100.544086
ไลฟ์ อโศก-พระราม 9 ,5010000,,35,,,1,1,,,,
,3193000,14000,34,,10,1,,0,,13.674478,100.533173
เวีย 49,16500000,60000,71,,,2,2,,,13.7304,100.576
,17000000,,223,,0,3,,0,,13.721206,100.565441
,7680000,35000,67,,0,2,,0,,13.712821,100.594265
,1750000,,30,,3,1,,0,,13.67054,100.624507
,11900000,,70,,0,2,,0,,13.725044,100.574593
,4992000,,64,,,2,2,,1,,
,12000000,40000,125,,0,3,,1,,13.72691,100.573525
,5860000,,39,,,1,1,,,13.695005,100.60354
ไลฟ์ อโศก-พระราม 9 ,3780000,,32,,,1,1,,,13.755352,100.564598
,7800000,,60,,0,2,,0,,13.743738,100.587533
,5170000,,35,,,1,1,,,13.7558,100.564
,45000000,,193,,,3,3,,,13.738729,100.544193
รีเจ้นท์ออนเดอะปาร์ค 3,15500000,,231,,0,3,,0,,13.742306,100.573366
,690000,,39,,4,1,,0,,13.703453,100.342552
,11155000,47000,97,,0,2,,0,,13.759717,100.569091
ศุภาลัย เวอเรนด้า พระราม 9,2654562,,38,,,1,1,,,,
,8070000,,38,,,1,1,,,,
,16790000,80000,230,,0,3,,0,,13.724754,100.58205
จี สไตล์ คอนโด,2400000,,29,,,1,1,,,13.77667,100.58197
,21000000,80000,174,,17,3,,1,,13.787457,100.543996
ควินน์ คอนโด รัชดา17,5273586,20000,36,,,1,1,,,13.78633,100.57322
,6880000,,37,,,1,,,,13.734068,100.582665
,11734378,,105,,,2,2,,,13.75487,100.52603
ไนท์บริดจ์ ไพร์ม สาทร,5570000,,37,,,1,1,,,13.7168,100.53313
เดอะ ไลน์ สุขุมวิท 71,26000000,,83,,0,1,,0,,13.73135,100.59675
พาร์ค 24 เฟส 1,6400000,,28,,,1,1,,,13.7255,100.566
,2800000,,34,,,1,1,,,,
ไอดีโอ โมบิ อโศก,5600000,,28,,33,,,0,,13.756397,100.565865
,2150000,,34,,5,1,,1,,13.839371,100.582056
,12400000,,49,,,1,1,,,13.7468,100.563
,4170000,16500,30,,,1,1,,,13.7304,100.588
,12000000,,72,,,2,2,,,13.72655,100.508356
มิราจ สุขุมวิท 27,11681225,,68,,,2,2,,,13.7353,100.56449
มายรีสอร์ท บางกอก,6040000,,68,,,2,,,,13.74838,100.56662
,10700000,,59,,,2,2,,,13.738222,100.591358
เดอะรีเซิร์ฟ เกษมสันต์ 3,11459000,,68,,,2,,,,13.74907,100.52736
มิราจ สุขุมวิท 27,5250000,25000,36,,0,1,,1,,13.735297,100.564495
,4862025,,40,,0,1,,1,,13.684282,100.605085
,1700000,,42,,2,1,,0,,13.687704,100.634711
,4770000,26000,45,,0,1,,0,,13.724701,100.583198
ดี คอนโด แคมปัสรีสอร์ท ราชพฤกษ์,2350000,,31,,,,1,,,13.7384,100.448
ไลฟ์ อโศก-พระราม 9 ,4240000,,32,,,1,1,,,13.755352,100.564598
,5922500,,36,,,1,1,,,,
ไลฟ์ อโศก,4610000,,29,,,1,1,,,13.750507,100.563889
เอลลิโอ คอนโด สุขุมวิท 64,2850000,,31,,,1,1,,,13.6852,100.604
,19926000,,162,,,3,3,,,,
,11880000,,62,,,2,,,,13.722928,100.566434
,15500000,,49,,0,1,,0,,13.72666,100.541131
,7487937,,28,,,1,1,,,13.72552,100.56563
ศุภาลัย เอลีท แอท พญาไท,8100000,,61,,,1,1,,,13.757,100.539
คอนโด ไลฟ์ แอท พหล 18,3507137,,41,,,1,1,,,13.79693,100.55276
,13000000,,96,,0,2,,0,,13.759717,100.569091
,65000000,,,,0,3,,0,,13.748273,100.544648
,32000000,,324,,,3,4,,,13.737124,100.584335
,,,48,,6,1,,1,,13.807305,100.519644
แอชตัน สีลม,22790000,,75,,0,2,,0,,13.726016,100.526983
โนเบิล รีไฟน์,11140000,,51,,,1,1,,,13.72836,100.57102
,28000000,,155,,,3,3,,,13.725069,100.564216
,11270000,43000,98,,0,2,,0,,13.759717,100.569091
,5750000,,50,,,2,1,,,13.7466,100.606
,34000000,,318,,18,4,,1,,13.734059,100.561327
,6900000,,60,,0,2,,0,,13.730266,100.579308
,10962307,,47,,,1,1,,,13.74317,100.56173
โมริ เฮาส์,4850000,22000,36,,,1,1,,,13.7141,100.602
,8900000,,46,,,1,1,,,13.743759,100.556643
,5800000,27000,93,,17,2,,1,,13.756331,100.501765
เดอะ ไลน์ พหลโยธิน-ประดิพัทธ์,5822283,,34,,,,,,,13.79052,100.54609
ไอดีโอ โมบิ อโศก,9250000,,45,,0,1,,1,,13.756397,100.565865
แอสปาย รัชดา–วงศ์สว่าง,2219015,,26,,,1,1,,,13.83074,100.52531
,7929626,,56,,,2,2,,,,
เซอร์เคิล คอนโดมิเนียม,4500000,,43,,,1,1,,,13.7497,100.556
,6500000,,75,,0,1,,0,,13.729213,100.576079
,27208000,85000,358,,0,3,,0,,13.737369,100.562505
,19000000,,66,,0,2,,0,,13.73116,100.530992
ไฮฟ์ สาทร,8500000,,,,,2,2,,,13.715837,100.505659
,12460000,,55,,,2,2,,,13.722543,100.566241
,7534331,,28,,,,1,,,,
ไนท์บริดจ์ ไพร์ม สาทร,3942623,,24,,,1,1,,,13.7168,100.53313
ไลฟ์ อโศก-พระราม 9 ,4690000,,35,,,1,1,,,13.755352,100.564598
นิช ไพรด์ ทองหล่อ-เพชรบุรี,4127245,,35,,,1,1,,,13.79627,100.58869
ไอดีโอ สาทร-ตากสิน,4630000,,36,,,1,1,,,13.72018,100.50204
โนเบิล รีไฟน์,10976000,53000,56,,0,1,,0,,13.728331,100.570729
ดีบุราพรานนก,6700000,,60,,,2,2,,,13.7568,100.477
,6600000,,93,,,2,2,2,3,13.698463,100.540611
ไลฟ์ อโศก-พระราม 9 ,4080000,,28,,,,1,,,13.755352,100.564598
,2500000,,38,,0,1,,0,,13.82516,100.630562
,11880000,50000,90,,0,1,,0,,13.739681,100.542832
เดอะเพรสซิเดนท์ สุขุมวิท,4800000,,38,,,1,1,,,13.70488,100.60166
,23000000,,78,,0,2,,0,,13.753503,100.538287
ศุภาลัย เอลีท สุรวงศ์,5573341,,42,,,1,1,,,,
โนเบิล รีโคล สุขุมวิท 19,16020000,,69,,,2,2,,,13.74207,100.56006
,23000000,,207,,,3,3,,1,,
,5400000,25000,35,,14,1,,1,,13.71282,100.594264
,3481500,25000,33,,0,1,,0,,13.734492,100.585849
,1950000,,31,,8,1,,1,,13.859833,100.569077
เดอะ พาโน,21000000,,138,,0,2,,0,,13.674115,100.54322
ลาวีค สุขุมวิท 57,10180000,,42,,,,,,,13.724442,100.580397
,2390000,,44,,2,1,,0,,13.713105,100.45213
,14100000,,75,,,2,2,,1,,
,32640000,,272,,7,3,,0,,13.739448,100.567364
,9797440,,72,,,3,3,,,13.740081,100.580923
,4800000,,34,,,,1,,,13.7402,100.59
,15500000,,69,,,2,2,,1,,
,3800000,,38,,0,1,,0,,13.711559,100.594627
แอชตัน จุฬา-สีลม,7160000,,35,,,1,1,,,13.7311,100.53101
อกัสตัน สุขุมวิท 22,30000000,,151,,0,3,,,,13.725176,100.563992
แอชตัน อโศก,7800000,,31,,,1,1,,,13.72655,100.508356
,14300000,50000,46,,,1,1,,,13.7249,100.577
,15556000,70000,140,,,3,3,,,13.73699,100.54993
โนเบิล รีมิกซ์,8855000,40000,55,,0,1,,0,,13.724749,100.577298
เดอะ พาร์คแลนด์ รัชดา-วงศ์สว่าง,2959363,,30,,,1,1,,,13.82862,100.52753
,4800000,,36,,0,1,,0,,13.734492,100.585849
,1700000,,42,,2,1,,0,,13.687704,100.634711
คอนโดเลต พิกเซล สาทร,2959362,,23,,,,1,,,13.71812,100.54928
,1500000,,30,,3,1,,1,,13.782207,100.671996
,16115000,,293,,,4,4,,,,
,6670000,,29,,0,1,,0,,13.725505,100.565748
,4120000,16000,36,,,1,1,,,13.7108,100.602
ริทึ่ม สุขุมวิท 36 – 38,5983472,,33,,,1,1,,,13.72161,100.57689
,2090000,,23,,31,1,,0,,13.805385,100.52567
,15030000,,80,,,2,2,,,13.72247,100.58455
,14300000,,75,,0,2,,0,,13.739993,100.55125
,4025191,,29,,,,1,,,13.817434,100.562714
ริทึ่ม สาทร,5200000,28000,35,,13,1,,1,,13.717076,100.516537
,6630000,30000,77,,0,2,,0,,13.705903,100.598379
,3323906,,,,0,1,,0,,13.684282,100.605085
,12500000,,70,,,2,2,,1,,
แอชตัน อโศก,8608741,,34,,,1,1,,,13.7391,100.561
,7300000,,71,,,2,2,,,,
,10900000,,80,,5,2,,0,,13.717128,100.585231
,26000000,,81,,,2,2,,1,,
,5200000,,30,,,1,,,,13.811442,100.559296
,8500000,,,,,2,2,,,,
ควอทโทร บาย แสนสิริ,15500000,60000,53,,,1,1,,,13.7275,100.582
ไลฟ์ อโศก,5250000,,35,,26,1,,0,,13.750674,100.564563
แอสปาย พระราม 4,2510000,,28,,0,1,,0,,13.712224,100.584489
,4800000,,54,,21,1,,1,,13.708139,100.495678
แมกโนเลียส์ ราชดำริ บูเลอวาร์ด,11500000,60000,50,,0,1,,0,,13.742584,100.540276
ลาวีค สุขุมวิท 57,42000000,,144,,,3,3,,,13.7245,100.58
,3790904,,26,,,,,,,13.817434,100.562714
,40500000,,162,,0,3,,0,,13.73329,100.572901
เดอะ แบงค็อค สาทร,15909068,,61,,,1,1,,,13.70832,100.5201
รีเจ้นท์ โฮม 7 สุขุมวิท,2250000,,65,,0,1,,0,,13.675468,100.603665
เดอะ เทอร์ตี้ไนน์ ,16300000,60000,57,,,1,1,,,13.7323,100.571
มิวนีค สุขุมวิท 23,11301497,,43,,,1,1,,,13.73725,100.56277
ไลฟ์ อโศก,5019929,,35,,,1,1,,,13.75064,100.56436
ริทึ่ม รางน้ำ,6841792,,35,,,,,,,13.76104,100.53706
,8500000,,78,,10,2,,1,,13.748473,100.565678
,8560000,,35,,,1,1,,,,
,23500000,,161,,0,3,,0,,13.723197,100.566949
ไอดีโอ โมบิ สาทร,5300000,,30,,0,1,,0,,13.720543,100.503047
ริทึ่ม อโศก 2,4280000,,31,,0,1,,0,,13.754237,100.565078
ซาริ บาย แสนสิริ,4210000,,45,,,1,1,,,13.68731,100.60683
,2056000,,32,,,1,1,,,13.90383,100.58588
,22000000,,85,,21,2,,1,,13.727628,100.581663
,6150000,20000,28,,,1,1,,,13.7538,100.565
,5570000,,58,,,,,,,13.80444,100.57619
ริทึ่ม สาทร-นราธิวาส,8000000,,55,,0,2,,1,,13.718831,100.532791
,3000000,,29,,,1,1,,,13.89027,100.60641
ไฮฟ์ ตากสิน,6400000,,50,,,1,1,,,13.7214,100.503
,14170000,,109,,0,2,,0,,13.743738,100.587533
,11900000,,93,,,2,2,,,13.73149,100.527129
,,,42,,,1,1,,,13.723508,100.581154
,4600000,,39,,19,1,,0,,13.750044,100.483532
,22300000,,105,,,2,2,,,13.7383,100.546
รอยัล คาสเซอร์,12500000,,143,,,3,3,,1,,
,6300000,,94,,,2,2,,1,,
,22000000,,133,,,2,3,,,13.737838,100.566374
วิลล่าอโศก,5900000,,40,,,1,1,,,13.7489,100.562
,980000,,31,,13,1,,1,,13.800881,100.536327
,13500000,,144,,0,3,,1,,13.732298,100.574337
,16240000,,66,,0,2,,1,,13.722657,100.525396
,30000000,,193,,,3,3,,,13.729309,100.562453
,12400000,,82,,0,3,,0,,13.740424,100.572748
,5600000,,70,,,2,2,,,13.678194,100.606446
,6975000,33000,45,,0,1,,0,,13.735031,100.564694
เดอะโคสต์ แบงค็อก,4910000,,35,,,1,1,,,13.67152,100.60577
,6200000,,28,,,1,1,,,13.72552,100.56563
เดอะ ลุมพินี 24,13800000,,55,,,,2,,1,,
,9720000,45000,54,,0,2,,0,,13.739993,100.55125
,7230000,,35,,,1,1,,,13.7225,100.585
,9200000,,57,,,2,2,,,13.739221,100.6033
,5800000,,33,,,1,1,,,13.719623,100.519599
,2900000,,29,,,1,1,,,13.89027,100.60641
,5500000,,84,,0,2,,0,,13.738587,100.553888
เดอะ ซิกเนเจอร์ บาย เออร์บาโน่,15000000,,85,,,,,,,13.79288,100.54918
,32000000,,193,,,3,3,,1,,
เดอะ ลอฟท์ เอกมัย,5054154,,28,,,1,1,,,13.71832,100.58736
,10700000,,53,,,1,1,,,13.741103,100.556337
,22410000,,65,,0,2,,1,,13.738886,100.561535
โนเบิล รีไฟน์,14112000,70000,72,,0,2,,0,,13.728331,100.570729
,9163000,35000,77,,0,2,,0,,13.748676,100.564918
วิลล่าอโศก,10000000,,80,,0,2,,0,,13.748849,100.561572
ไลฟ์ อโศก,4045523,,29,,,1,1,,,13.75064,100.56436
แอสปาย พระราม9,4991958,17000,39,,,1,1,,,13.75442,100.56676
,2677500,,24,,0,1,,1,,13.684282,100.605085
ซิลเวอร์ เฮอริเทจ,36000000,,303,,0,3,4,0,,13.719854,100.579384
ไฮฟ์ ตากสิน,6120000,18000,45,,,1,1,,,13.7214,100.503
,40500000,,162,,0,3,,0,,13.73329,100.572901
ริทึ่ม พหล-อารีย์,4700000,,35,,,1,1,,,13.7884,100.548
โนเบิล รีวอลฟ์ รัชดา 2,3990000,,26,,,1,1,,,13.7639,100.569
,43000000,,238,,,2,3,,,13.7333,100.571
,7104000,25000,48,,0,1,,0,,13.715969,100.591997
,33000000,,189,,2,3,,0,,13.7238,100.567001
เดอะ เครสท์ สุขุมวิท 34,7210000,,36,,0,1,,0,,13.725295,100.576498
สตาร์วิว พระราม 3,9811966,,77,,,2,2,,,13.68743,100.51799
วายน์ สุขุมวิท,8990000,33000,62,,,2,2,,,13.7128,100.594
เดอะ ไลน์ สุขุมวิท 71,9975000,,57,,0,2,,0,,13.715003,100.594612
,24000000,,196,,0,3,,0,,13.72612,100.577974
ควอทโทร บาย แสนสิริ,14100000,50000,53,,,1,1,,,13.7275,100.582
,2090000,,23,,31,1,,0,,13.805385,100.52567
,4300000,,38,,,1,1,,,13.724369,100.581701
,10200000,,68,,,2,2,,,13.708743,100.545689
เดอะ เบส พระราม 9 - รามคำแหง,2750000,,30,,,1,1,,,13.7481,100.605
,4330000,,35,,,1,1,,,13.7466,100.606
,9344000,50000,128,,0,2,,0,,13.724754,100.58205
,8410000,,52,,,2,1,,,13.7906,100.546
เอดจ์ สุขุมวิท 23,7300000,,,,0,1,,0,,13.735972,100.562588
,1850000,,32,,7,1,,0,,13.677621,100.617536
,8809000,,35,,20,1,,1,,13.778139,100.544334
เดอะ เบส พระราม 9 - รามคำแหง,3300000,,30,,,1,1,,,13.7481,100.605
,7300000,,71,,,2,2,,,,
ไลฟ์ อโศก-พระราม 9 ,7500000,,58,,,2,2,,,,
ดิ เอส อโศก,11353102,,45,,,1,1,,,13.74317,100.56173
,14070000,,56,,,2,2,,,13.7255,100.566
เวนโต้คอนโด,2154515,,33,,,1,1,,,13.82809,100.62168
,7350000,,61,,,2,2,,,13.776597,100.484794
แอ็บสแตร็กส์ พหลโยธิน พาร์ค,6511249,,58,,,2,1,,,13.81759,100.56527
,24280000,,86,,,2,2,,,,
เดอะ ซี้ด มูซี่,5952000,27000,48,,0,1,,0,,13.72569,100.569984
ดิแอดเดรสสยาม,10275000,35000,75,,0,1,,0,,13.752121,100.534351
,9900000,,102,,52,3,,0,,13.71039,100.500848
คณาพญา เรสซิเดนซ์,22140000,,85,,,2,2,,,13.68766,100.51341
,3880000,,41,,,1,1,,,13.80444,100.57619
,39500000,,144,,,3,3,,,13.727869,100.51089
คิว คอนโด อโศก ,8020000,,37,,,,,,,13.74824,100.56273
เดอะ ไลน์ ราชเทวี,9350000,,34,,,1,1,,,13.7524,100.534
วินด์ สุขุมวิท 23,6500000,,52,,,1,1,,1,,
ไอคอนโด สุขาภิบาล 2,3220000,,48,,,,,,,13.78241,100.67174
แอชตัน อโศก,8880669,,34,,,1,1,,,13.7391,100.561
,15000000,,70,,0,2,,0,,13.722707,100.580362
,6050000,,47,,0,1,,0,,13.729712,100.530466
,6500000,25000,46,,41,1,,1,,13.788633,100.545264
ศุภาลัย เวอเรนด้า พระราม 9,3003411,,42,,,1,1,,,,
,13000000,,78,,0,2,,0,,13.687281,100.518025
,15000000,,56,,30,2,,1,,13.725509,100.566466
เบล อเวนิว พระราม 9,12133326,,77,,,2,1,,,13.76007,100.56942
ดีคอนโด อ่อนนุช – พระราม 9,1909000,,30,,,,1,,,13.7302,100.7
ศุภาลัย เอลีท แอท พญาไท,8270000,,61,,,,,,,13.75699,100.53922
เวีย 31,8000000,,50,,,1,1,,,13.7393,100.568
,2490000,,42,,,1,,0,,13.789498,100.588922
,3900000,15000,30,,23,1,,0,,13.712958,100.599685
,5800000,,57,,0,1,,0,,13.776533,100.541974
เอดจ์ สุขุมวิท 23,6950000,,32,,,1,1,,,13.7391,100.563
เซอร์เคิล ลิฟวิ่ง โปรโตไทพ์,12750000,,84,,0,2,,0,,13.750082,100.55607
,20880000,,64,,,2,2,,,13.7389,100.560898
,4770000,,30,,0,1,,0,,13.805066,100.574282
,39690000,130000,270,,0,4,,0,,13.726403,100.584208
,4190000,18000,40,,,1,1,,,13.7104,100.602
,8660000,,34,,,1,1,,,13.7391,100.561
,3770000,,31,,,1,1,,,13.6987,100.605
,21156000,80000,164,,0,3,,0,,13.719527,100.531072
,16960800,,56,,,2,2,,,13.72552,100.56563
,32900000,,221,,0,3,,0,,13.736292,100.584636
ไอดีโอ โมบิ สุขุมวิท อีสท์เกต,2951806,,22,,,,1,,,13.66557,100.60411
,12000000,,147,,0,3,,1,,13.706084,100.53634
,6550000,,35,,,1,1,,,13.747797,100.548437
,3000000,,28,,0,1,,1,,13.741023,100.525499
,5280000,,31,,25,,,1,,13.707743,100.600353
เดอะ เทอร์ตี้ไนน์ ,17740000,,59,,,,,,,13.73221,100.570928
,15000000,,142,,0,3,,0,,13.71039,100.500848
วายน์ สุขุมวิท,8650000,,69,,,2,2,,,13.7128,100.594
,9306000,,33,,,1,1,,,13.7197,100.522
,6500000,35000,47,,12,1,,1,,13.730651,100.587341
,2600000,13000,35,,8,1,,0,,13.70633,100.595853
,6000000,,50,,0,1,,0,,13.742971,100.570997
,2690000,,23,,,1,,,,13.718452,100.549715
ริทึ่ม รัชดา-ห้วยขวาง,5589907,,46,,,1,1,,,13.79875,100.57586
โนเบิล รีโว สีลม,5380000,,34,,,1,1,,,13.71951,100.51949
,43380000,,343,,0,3,,0,,13.719527,100.531072
ไลฟ์ อโศก-พระราม 9 ,4900000,,35,,,1,1,,,,
,7092718,,35,,,1,1,,,13.72247,100.58455
ศุภาลัย ปาร์ค เอกมัย-ทองหล่อ,6900000,,72,,19,2,,1,,13.742774,100.589029
ไลฟ์ อโศก-พระราม 9 ,3910000,,32,,,1,1,,,,
,8722000,43000,89,,0,2,,0,,13.747949,100.55787
ไอดีโอ โมบิ สุขุมวิท อีสท์เกต,2662818,,22,,,1,1,,,13.66557,100.60411
เดอะ ไลน์ พหลโยธิน-ประดิพัทธ์,4430000,,26,,,1,1,,,13.7906,100.546
,6980556,,37,,5,1,,1,,13.714377,100.60419
ไลฟ์ อโศก-พระราม 9 ,2910000,,25,,,,1,,,13.755352,100.564598
185 ราชดำริ,70400000,180000,200,,0,2,,0,,13.735109,100.539146
ริทึ่ม พหล-อารีย์,5696775,,35,,,1,1,,,13.7889,100.54527
ไลฟ์ อโศก-พระราม 9 ,3850000,,28,,,,1,,,13.755352,100.564598
,19500000,,166,,0,3,,0,,13.71039,100.500848
,8590000,,71,,,1,2,,,13.729941,100.572198
,18770000,,75,,0,2,,1,,13.73329,100.572901
โนเบิล เพลินจิต,10500000,,52,,0,1,,0,,13.743535,100.548669
,9000000,,70,,,2,,,,13.714298,100.602336
,8300000,,79,,0,2,,0,,13.730581,100.576887
,30000000,,124,,0,2,,0,,13.741816,100.585417
,14800000,,83,,,1,2,,1,,
,5100000,,48,,,1,1,,,13.727916,100.560856
เดอะ ไลน์ จตุจักร-หมอชิต,7637541,,42,,,1,1,,,13.8062,100.5562
โนเบิล เพลินจิต,19570000,,69,,1,2,,1,,13.743535,100.548669
คลาส หลังสวน,20500000,,72,,0,2,,0,,13.741965,100.542122
เซเรเน่ เพลส สุขุมวิท 24,11700000,,78,,0,2,,1,,13.726547,100.567412
,6900000,30000,115,,26,1,,0,,13.839935,100.579308
ไลฟ์ อโศก,8003937,,55,,,2,2,,,13.75064,100.56436
เดอะ เครสท์ สุขุมวิท 34,26800000,105000,127,,0,2,,0,,13.725448,100.576538
เซ็นทริค ซีน พหลโยธิน 9,5500000,,56,,17,1,,1,,13.78613,100.546288
,7700000,,130,,,3,2,,1,,
ดี 65 คอนโดมิเนียม,5200000,35000,68,,5,1,,1,,13.721736,100.588854
เดอะทรัสต์ เรสซิเด้นซ์ ปิ่นเกล้า,2680000,,29,,,1,1,,,13.78554,100.46975
เอดจ์ สุขุมวิท 23,8980000,40000,46,,,1,1,,,13.7391,100.563
,4840000,,31,,,1,1,,,13.6987,100.605
,2509148,,24,,,,1,,,13.68012,100.61083
,48000000,,236,,,3,3,,,13.730276,100.561111
,6700000,,51,,,1,1,,,13.748473,100.565677
เดอะ รูม สุขุมวิท 69 ,7580000,,35,,,,,,,13.71444,100.59283
,4380000,15000,35,,,1,1,,,13.7204,100.493
ริทึ่ม สาทร,6836812,,45,,,1,1,,,13.71677,100.51648
แอชตัน จุฬา-สีลม,7110000,,35,,,1,1,,,13.731102,100.531009
,80000000,180000,294,,0,5,,0,,13.741234,100.54931
,21600000,,71,,,2,2,,,13.7197,100.522
,37250000,130000,450,,,5,4,,,13.7447,100.568
,6560000,,34,,,1,1,,,13.74935,100.56009
มิราจ สุขุมวิท 27,5250000,25000,36,,0,1,,1,,13.735297,100.564495
,1790000,,36,,7,1,,0,,13.769065,100.63222
,7300000,,118,,,3,2,,,13.74693,100.556054
เซ็นทริค ห้วยขวาง สเตชั่น,3660000,,26,,,1,1,,,13.78032,100.57402
,3000000,,55,,3,2,,1,,13.769065,100.63222
,5490000,,36,,0,1,,0,,13.722078,100.497857
,4700000,,42,,0,1,,0,,13.713111,100.594478
