CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,6237000,30000,63,,0,1,,0,,13.776533,100.541974
เดอะ ไลน์ จตุจักร-หมอชิต,13550000,40000,61,,,2,2,,,13.806,100.557
เดอะรีเซิร์ฟ เกษมสันต์ 3,7690000,,39,,,1,1,,,13.74907,100.52736
,5903533,25000,34,,,1,1,,,13.72519,100.5745
ดิ แอดเดรส สุขุมวิท 42,4887000,25000,45,,0,1,,0,,13.717128,100.585231
,5342670,,77,,0,2,,0,,13.756331,100.501765
,7533000,,52,,6,1,,1,,13.746676,100.529137
,2400000,,31,,6,1,,0,,13.70669,100.600406
,3400000,,42,,0,1,,0,,13.736591,100.641673
ไอดีโอ โมบิ จรัญ-อินเตอร์เชนจ์,5020000,,33,,,,,,,13.76227,100.47196
,88000000,200000,192,,33,3,,3,,13.723829,100.52783
แอสปาย รัชดา–วงศ์สว่าง,2239657,,26,,,1,1,,,13.83074,100.52531
,1990000,10000,30,,,,1,,,,
,15000000,78000,250,,14,4,,4,,13.719958,100.589374
185 ราชดำริ,60000000,,154,,,,2,,,13.7355,100.539
,5055000,,42,,0,1,,0,,13.706876,100.634165
วิสซ์ดอม สเตชั่น รัชดา-ท่าพระ,3834459,,32,,,1,1,,,13.7137,100.478395
เลอ ลัก คอนโดมิเนียม,6375200,30000,52,,0,1,,0,,13.714803,100.593277
,6477000,,40,,,1,1,,,13.755019,100.561977
แอชตัน อโศก,9200000,,36,,,1,1,,,13.73701,100.56039
เดอะ ไลน์ จตุจักร-หมอชิต,10230000,,58,,,2,2,,,13.8062,100.5562
โนเบิล โซโล,7300000,35000,61,,0,1,,1,,13.740159,100.585009
เดอะ เบส สุขุมวิท 77,6350000,,57,,,2,2,,,13.7108,100.602
,3850000,15000,27,,,1,1,,,13.7466,100.606
,4300000,,37,,8,2,,0,,13.661473,100.605851
โนเบิล เพลินจิต,10700000,,45,,1,1,,1,,13.743535,100.548669
ลาวีค สุขุมวิท 57,11160000,,42,,,,,,,13.724442,100.580397
,2254588,,25,,,,1,,,13.71343,100.46398
แอสปาย สาทร-ท่าพระ,3291798,,31,,,1,1,,,13.71501,100.47866
,7540000,,45,,0,2,,0,,13.704186,100.60185
,14210000,55000,145,,0,2,,0,,13.747949,100.55787
,4606000,,32,,,1,1,,,13.755019,100.561977
เดอะ ไลน์ จตุจักร-หมอชิต,4650000,,27,,,1,1,,,13.8062,100.5562
,6500000,29900,35,,22,1,,1,,13.740389,100.557474
เซอร์เคิล คอนโดมิเนียม,5000000,23000,47,,0,1,,1,,13.749775,100.55577
,16600000,,72,,,2,2,,,13.7197,100.522
,9910000,,47,,,1,1,,,13.7432,100.562
ทรูทองหล่อ,3600000,,36,,,1,1,,,13.7442,100.585
,2175000,,31,,18,1,,0,,13.817953,100.535227
,5883400,,26,,0,1,,0,,13.725505,100.565748
วิสซ์ดอม อเวนิว รัชดา-ลาดพร้าว,5640000,,35,,,1,1,,,13.805203,100.574228
,8800000,,76,,,2,2,,,,
ดิ เอส อโศก,10340000,,48,,,1,1,,,13.74317,100.56173
,2340000,,26,,,1,1,,,13.79398,100.65216
,7500000,,55,,0,1,,0,,13.721926,100.584844
,7470000,,35,,,1,1,,,13.731223,100.585851
,5290000,,28,,,,1,,,13.747864,100.548372
,19880000,,81,,,2,2,,,13.724255,100.578546
แอสปาย สุขุมวิท 48,4150000,,39,,,1,1,,,13.7113,100.594
,5700000,,48,,,2,1,,,13.714043,100.59464
,1790000,,66,,0,2,,0,,13.80689,100.513929
,15120000,,74,,,1,1,,,13.723885,100.566536
,6500000,,44,,0,1,,1,,13.706586,100.601135
,7900000,,39,,0,11,,1,,13.742934,100.56199
แอชตัน จุฬา-สีลม,7843961,,35,,,1,,,,13.7311,100.53101
,2590000,,35,,12,1,,0,,13.825039,100.537671
,6200000,,51,,,1,1,,,13.725786,100.526798
,12500000,,80,,,2,2,,,,
,5871000,,36,,0,1,,0,,13.737175,100.583555
,8050000,,36,,,1,1,,,13.7524,100.534
,3010000,,23,,,1,1,,,,
,9960000,55000,120,,0,2,,0,,13.729688,100.572655
,31000000,,193,,0,3,,0,,13.729356,100.562093
โนเบิล รีโว สีลม,10038477,,69,,,2,2,,,13.71951,100.51949
ฟูลเลอตัน สุขุมวิท,46900000,95000,153,,0,3,,1,,13.721778,100.582453
,4111500,17000,32,,,1,1,,,13.7304,100.588
,4100000,14000,45,,22,2,,1,,13.713489,100.464701
มายคอนโด สุขุมวิท 81,2990000,15000,34,,,1,1,,,13.7063,100.606
,16000000,,202,,22,3,,0,,13.730266,100.579308
เดอะ ริเวอร์,74100000,,331,,0,4,,1,,13.721206,100.509593
เทลลา ทองหล่อ,61145280,,189,,0,2,,0,,13.733317,100.582046
,23000000,85000,112,,31,2,,1,,13.740214,100.566136
ริทึ่ม อโศก 2,4432414,,28,,,1,1,,,13.75427,100.56447
,23000000,,146,,0,3,,0,,13.729356,100.562093
,60000000,,250,,0,4,,0,,13.739782,100.566072
อีส พระราม 2,3110000,,44,,,2,1,,,13.66938,100.43617
,6410000,,35,,,1,1,,,13.747864,100.548372
,13990000,,108,,0,2,,0,,13.719527,100.531072
,10900000,,68,,,2,2,,,,
,8300000,,60,,1,1,,1,,13.737053,100.556821
,43680000,95000,156,,,3,3,,,13.7217,100.582
ไลฟ์ อโศก,4151313,,29,,,1,1,,,13.75064,100.56436
เดอะ ซี๊ด มิงเกิ้ล,8200000,,71,,0,2,,1,,13.719949,100.539419
,5800000,,44,,0,1,,0,,13.704186,100.60185
,4000000,18000,50,,,1,1,,,,
,30000000,,151,,,3,3,,,13.725069,100.564216
เอช สุขุมวิท 43,12600000,,59,,0,2,,0,,13.732527,100.573972
,5470400,,35,,26,1,,0,,13.756331,100.501765
คลาส หลังสวน,10421206,,45,,,1,1,,,13.74196,100.54431
ไลฟ์ อโศก,5470131,,35,,,1,1,,,13.75064,100.56436
โนเบิล รีโว สีลม,5440000,,34,,,1,1,,,13.71951,100.51949
,20000000,,141,,,3,3,,,13.737368,100.583889
เดอะ เนสท์ เพลินจิต,6500000,,44,,0,1,,1,,13.746232,100.54953
,4570000,,33,,,1,1,,,13.7147,100.605
,18200000,65000,,,17,2,,1,,13.734394,100.577751
ริทึ่ม อโศก 2,6000000,,30,,0,1,,1,,13.754237,100.565078
,2390000,,23,,7,1,,,,13.786704,100.572426
,5700000,,58,,,2,1,,,,
ควอทโทร บาย แสนสิริ,22500000,70000,90,,,2,2,,,13.7275,100.582
ริทึ่ม รัชดา,5850000,,46,,0,1,,0,,13.77911,100.574355
,4850000,17000,28,,25,1,,1,,13.755831,100.566364
ไลฟ์ อโศก,4810000,,29,,,1,1,,,13.750507,100.563889
