CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
เดอะ ริเวอร์,18740000,,132,,,2,2,,,13.721558,100.510307
คีนน์ บาย แสนสิริ,6900000,30000,35,,,1,1,,,13.724993,100.576933
,11530000,,43,,,1,1,,,13.719733,100.522404
วิลล่า สาทร,5400000,20000,55,,,1,1,,,13.721234,100.504148
เอ็ม จตุจักร,7377000,,53,,,2,1,,,13.797477,100.55176
,4330000,,32,,,1,1,,,13.754357,100.563878
คิว ชิดลม-เพชรบุรี,11778000,,63,,,2,2,,,13.749404,100.543869
ศาลาแดง วัน,15540000,,49,,,1,1,,,13.726661,100.541131
ดิ เอ็มไพร์ เพลส สาทร,46000000,,343,,,1,4,,,13.719323,100.531126
,6000000,,34,,,1,1,,,13.743472,100.554339
ควินน์ คอนโด รัชดา17,6710000,,46,,,1,1,,,13.786325,100.573246
แอสปาย รัชดา–วงศ์สว่าง,2317500,,26,,,1,1,,,13.830736,100.525306
,15990000,,76,,,2,2,,3,,
โนเบิล รีโว สีลม,5450000,20000,34,,,1,1,,,13.719509,100.519492
แอชตัน สีลม,20000000,,72,,,2,2,,,13.726391,100.526828
แอชตัน เรสซิเด้นซ์ 41,17500000,,77,,,2,2,,,13.732784,100.572857
,3225000,,37,,,1,1,,,13.75633,100.571409
ไอดีโอ สาทร-ท่าพระ,2446808,,22,,,,1,,,13.717258,100.482319
เดอะคิวบ์ ลอฟท์ นวลจันทร์,90000,,28,,,1,1,1,1,13.830252,100.637942
โนเบิล รีมิกซ์,9300000,40000,61,,,1,1,,,13.724502,100.577252
,3500000,,30,,,1,1,,,13.778809,100.574207
ไลฟ์ อโศก,4330000,,35,,,1,1,,,13.750283,100.564773
เดอะ พาร์คแลนด์ เพชรเกษม – ท่าพระ,2690000,,32,,,1,1,,,13.728395,100.477949
ศุภาลัย ริเวอร์ รีสอร์ท,6450000,,54,,,1,1,,,,
,9500000,,56,,,1,1,,,13.722747,100.52563
ไอดีโอ คิว สยาม - ราชเทวี,6800000,,34,,,1,1,,,13.75301,100.533877
333 ริเวอร์ไซด์,6600000,,46,,,1,1,,,13.806523,100.51946
ไอดีโอ สุขุมวิท 93,4970000,,34,,,1,1,,,13.698563,100.604805
ไอดีโอ โมบิ สุขุมวิท อีสท์เกต,2350000,,22,,,1,1,1,1,13.665637,100.603751
,4920000,,40,,,1,1,,,13.710381,100.601693
,80000,,24,,,1,1,1,2,,
ไอวี่ ทองหล่อ,7234000,,35,,,1,1,,,13.737175,100.583555
