CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,14000000,,119,,0,2,,0,,13.739922,100.541005
เดอะ รูม สุขุมวิท 69 ,14752000,,81,,21,2,,0,,13.714251,100.592707
,4650000,,34,,15,1,,0,,13.756331,100.501765
วิสซ์ดอม คอนเนค สุขุมวิท,5600000,,42,,,1,1,,,13.6858,100.611
,8990000,,58,,,2,2,,,13.755019,100.561977
,9900000,,65,,20,2,,0,,13.706509,100.599366
,2150000,,27,,23,1,,1,,13.819586,100.536334
เดอะ ไลน์ ราชเทวี,7390000,,28,,,,1,,,13.8062,100.5562
,7068000,32000,62,,0,2,,0,,13.712821,100.594265
,4200000,,29,,3,,,1,,13.724448,100.576814
,4650000,,30,,23,1,,1,,13.806076,100.572724
,5000000,,38,,18,1,,1,,13.794856,100.55064
,7725000,,28,,,1,1,,,13.724033,100.566938
,3450000,,26,,17,,,0,,13.698535,100.604719
,4700000,,27,,,1,1,,,13.692,100.608
,1999400,,,,0,,,0,,13.73116,100.530992
,4100000,,45,,,2,1,,,13.685185,100.604296
ไฟคัส เลน,23800000,90000,200,,0,2,,0,,13.713912,100.58924
,12000000,,60,,2,2,,0,,13.714246,100.593478
,6760000,,51,,0,2,,0,,13.698535,100.604719
,8246626,,60,,,1,1,,,13.75699,100.53922
,6900000,,70,,0,2,,0,,13.721736,100.588854
,2742000,,25,,0,,,0,,13.749048,100.606765
เดอะ เบส พระราม 9 - รามคำแหง,2660000,,26,,,,1,,,13.7481,100.605
โนเบิล เพลินจิต,19181056,,58,,,1,1,,,13.74376,100.54861
เดอะ ซี้ด มูซี่,7000000,,48,,0,1,,0,,13.72569,100.569984
,20000000,,380,,0,3,,0,,13.731084,100.576362
,9332000,,35,,0,1,,1,,13.683021,100.535237
ศุภาลัย เวลลิงตัน ,8600000,29000,77,,0,2,,1,,13.767609,100.573782
,6900000,37500,74,,22,2,,0,,13.744419,100.573548
,6180000,,43,,,1,1,,,13.704026,100.602005
,3460000,,32,,,1,1,,,13.755352,100.564598
,3050250,,,,0,1,,0,,13.684282,100.605085
เอดจ์ สุขุมวิท 23,11250000,,43,,,,,,,13.73963,100.56309
,2300000,,42,,7,1,,1,,13.709201,100.450788
,37500000,,124,,0,2,,0,,13.729903,100.570895
,27378000,90000,117,,0,2,,0,,13.73769,100.546449
ไอดีโอ โมบิ อโศก,10510000,,54,,,2,1,,,13.70427,100.60203
,3990000,,49,,17,1,,1,,13.825039,100.537671
,18500000,,59,,0,1,,0,,13.726068,100.575216
แอชตัน อโศก,8446000,,34,,0,1,,0,,13.738886,100.561535
แอชตัน อโศก,9200000,,36,,,1,1,,,13.73701,100.56039
,16600000,65000,200,,0,3,,0,,13.729688,100.572655
ไลฟ์ อโศก-พระราม 9 ,7350000,,58,,,2,2,,,,
,25000000,,99,,24,2,,1,,13.730661,100.581886
แอสปาย สาทร-ท่าพระ,3069776,,31,,,1,1,,,13.71501,100.47866
โนเบิล รีวอลฟ์ รัชดา 2,3700000,,25,,,1,1,,,13.7639,100.569
,5426925,,,,0,2,,0,,13.684282,100.605085
,4775000,,29,,0,1,,0,,13.780072,100.574051
แอสปาย สุขุมวิท 48,3450000,,35,,0,1,,0,,13.71118,100.593972
แอชตัน จุฬา-สีลม,5700000,,25,,,,1,,,13.731102,100.531009
เดอะ ทรี ริโอ้ บางอ้อ สเตชั่น ,2683460,,30,,,1,1,,,13.79987,100.50772
,6820000,,35,,,1,1,,,13.72247,100.58455
พอส สุขุมวิท 103,4308768,,42,,,2,2,,,13.68147,100.61273
เออร์บาโน่ แอบโซลูท สาทร-ตากสิน,10560000,,74,,,,2,,,13.72113,100.5072
,3700000,,28,,,,,,,13.817434,100.562714
,2200000,,29,,10,1,,0,,13.675464,100.517244
,5323000,,35,,7,1,,1,,13.746337,100.587398
ทรี คอนโด สุขุมวิท 42,4300000,,49,,,1,1,,1,,
วายน์ สุขุมวิท,6470000,,48,,,1,1,,,13.71282,100.59427
,8600000,,47,,,2,2,,,13.752084,100.534708
,8400000,,102,,0,2,,1,,13.701091,100.535893
,6030000,,29,,,1,1,,,13.72552,100.56563
