CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
ริทึ่ม พหล-อารีย์,10100000,,67,,,2,2,,,13.788905,100.545271
,4200000,,29,,,1,1,,,13.722909,100.576852
,7980000,35000,60,,,1,1,,,13.737031,100.556762
แอชตัน จุฬา-สีลม,7400000,,35,,,1,1,,,13.731096,100.531012
,3300000,16000,47,,,1,1,,,13.718129,100.48015
วินด์ รัชโยธิน ,12770000,60000,79,,,1,1,,,13.828605,100.566228
ไฮด์ สุขุมวิท,6490000,24000,30,,,1,1,,,13.740361,100.557288
ไอดีโอ คิว ราชเทวี,6200000,,34,,,1,1,,,13.75282,100.533865
,3610000,,35,,,1,1,,,13.740556,100.60006
ศุภาลัย เอลีท แอท พญาไท,7310000,,61,,,1,1,,,13.756987,100.539217
เดอะ ลอฟท์ อโศก,9490000,,49,,,1,1,,,13.746769,100.562783
,5620000,,34,,,1,1,,,13.790398,100.545904
วิสซ์ดอม คอนเนค สุขุมวิท,4540000,,29,,,1,1,,,13.685642,100.610619
ศุภาลัย ริเวอร์ เพลส,2770000,,35,,,1,1,,,13.710744,100.502763
,11000000,50000,75,,,2,2,,,13.73928,100.572688
ศุภาลัย ปาร์ค เอกมัย-ทองหล่อ,4850000,22000,56,,,1,1,,,13.742941,100.58898
ริทึ่ม สาทร,7240000,35000,45,,,1,1,,,13.717856,100.516763
,21000000,80000,125,,,2,3,,,13.743606,100.561252
แอ็บสแตร็กส์ พหลโยธิน พาร์ค,3860000,,38,,,1,1,,,13.818025,100.564932
ไอดีโอโมบิ วงศ์สว่าง-อินเตอร์เชนจ์,3060000,,25,,,1,1,,,13.818953,100.532139
ไอดีโอ สาทร-ท่าพระ,2340000,,21,,,1,1,,,13.717258,100.482319
เดอะ เซนต์ เรสิเดนเซส ,2940000,,30,,,1,1,,,13.811758,100.560022
,3650000,16000,40,,,1,1,,,13.804437,100.576231
วินด์ รัชโยธิน ,18500000,80000,160,,,1,3,,,13.828605,100.566228
เออร์บาโน่ แอบโซลูท สาทร-ตากสิน,4550000,,38,,,1,1,,,13.721125,100.507202
ริทึ่ม สุขุมวิท 44/1,7750000,32000,45,,,1,1,,,13.715212,100.590594
,9410000,,49,,,1,1,,,,
,2300000,,26,,,1,1,,,13.740556,100.60006
ไฮฟ์ ตากสิน,5860000,,50,,,1,1,,,13.721894,100.496529
ไลฟ์ สุขุมวิท 48,4563000,,39,,,1,1,,,13.711512,100.594775
,5550000,,36,,,1,1,,,13.755979,100.563553
โนเบิล เพลินจิต,26600000,90000,81,,,2,2,,,13.743764,100.54861
,7020000,,50,,,1,1,,,13.751953,100.533321
คอนโด เลต มิสท์ พระราม 9,5640000,,35,,,1,1,,,13.755821,100.566363
แอชตัน จุฬา-สีลม,6780000,,31,,,1,1,,,13.731096,100.531012
แอชตัน อโศก,9250000,,35,,,1,1,,,13.738898,100.5609
ดิ แอดเดรส อโศก,14370000,50000,65,,,2,2,,,13.749514,100.561981
เซอร์เคิล คอนโดมิเนียม,5200000,,39,,,1,1,,,13.749275,100.555941
โนเบิล รีวีล,8000000,38000,51,,,1,1,,,13.721926,100.584844
คอนโด เลต มิสท์ พระราม 9,4650000,,29,,,1,1,1,2,13.765136,100.578914
วิสซ์ดอม สเตชั่น รัชดา-ท่าพระ,3598000,,32,,,1,1,,,13.713712,100.478352
เดอะ เนสท์ สุขุมวิท 22,3170000,,24,,,1,1,,,13.724903,100.563369
เอลิส คอนโดมิเนียม วงเวียนใหญ่,1980000,,28,,,1,1,1,,13.723166,100.492729
The Room สาทร-ตากสิน,6702127,20000,67,,,2,2,,,13.717746,100.483477
แอสปาย สาทร-ตากสิน ทิมเบอร์ โซน,1870000,,28,,,1,1,,,13.713428,100.463978
,2990000,,38,,,1,1,1,1,,
,16000000,65000,91,,,2,2,,,13.726081,100.568005
,4900000,,35,,,1,1,,,13.786325,100.573246
วิช ซิกเนเจอร์ มิดทาวน์ สยาม,9700000,,60,,,1,1,,,13.751983,100.534693
,3370000,,30,,,1,1,,,13.772054,100.579979
,6350000,,56,,,2,2,,,13.790669,100.574196
The Room พระราม 4,8100000,35000,45,,,1,1,,,13.736319,100.52076
ศาลาแดง วัน,38700000,,113,,,2,2,,,13.726661,100.541131
ไลฟ์ อโศก,4237113,,29,,,1,1,,,13.750283,100.564773
ไลฟ์ อโศก-พระราม 9 ,4240000,,32,,,1,1,,,13.754357,100.563878
ไอดีโอ คิว สยาม - ราชเทวี,5860000,,30,,,,1,,,13.75301,100.533877
,21230000,62000,115,,,2,2,,,13.730626,100.573124
ไอดีโอ คิว สยาม - ราชเทวี,6520000,,35,,,1,1,,,13.75301,100.533877
,4450000,,40,,,1,1,,,13.807363,100.570213
ไลฟ์ รัชดาภิเษก,7200000,,47,,,1,1,,,13.790669,100.574196
มารุ เอกมัย 2,11480000,,59,,,2,2,,,13.72461,100.584823
ริทึ่ม สาทร,9800000,,55,,,2,1,,,13.718825,100.532778
พาร์ค 24 เฟส 1,5310000,,28,,,1,1,,,13.725512,100.566204
ไอดีโอ สุขุมวิท 93,4160000,,35,,,1,1,,,13.698563,100.604805
อินโทร พหลโยธิน-ประดิพัทธ์,4150000,16000,44,,,1,1,,,13.79205,100.539261
The Room เจริญกรุง 30,10430000,,56,,,1,1,,,13.728981,100.515637
คาซ่า คอนโด รัชดา-ราชพฤกษ์ ,3720000,,36,,,1,1,,,13.713727,100.476237
เดอะ สเตจ เตาปูน-อินเตอร์เชนจ์,2600000,,26,,,1,1,,,13.806258,100.526553
เอลลิโอ เดล เรย์ สุขุมวิท 64,3190000,10000,34,,,1,1,,,13.684212,100.604489
,4640000,25000,45,,,1,1,,,13.726253,100.568861
,5390000,18000,31,,,1,1,,,13.753338,100.530981
แอสปาย สุขุมวิท 48,4000000,,38,,,1,1,,,13.71118,100.593972
,4100000,,29,,,1,1,,,,
ไอดีโอเวิร์ฟ,7700000,,59,,,1,1,,,13.754496,100.54253
,2550000,,26,,,1,1,,,13.740556,100.60006
ไอดีโอ คิว ราชเทวี,6600000,,34,,,1,1,,,13.75282,100.533865
,9900000,32000,61,,,1,1,,,13.745049,100.549369
แอสปาย สุขุมวิท 48,5200000,25000,53,,,2,2,,,13.71118,100.593972
ไอดีโอ โมบิ สาทร,5110000,,43,,,2,1,,,13.721271,100.500588
,4620000,,28,,,1,1,,,13.75391,100.564837
เมโทร ปาร์ค สาทร,2130000,,32,,,1,1,,,13.709118,100.451345
แบงค์คอก เฟ’ลิซ สาทร-ตากสิน,4200000,,30,,,1,1,,,13.721858,100.504753
เอ สเปซ ไอดี อโศก-รัชดา,5000000,16000,33,,,1,1,,,13.75685,100.560255
,2400000,,36,,,1,1,1,1,13.862845,100.578331
,5430000,,78,,,1,2,,,13.737524,100.553199
เดอะ คีย์ สาทร-เจริญราษฎร์,6100000,,56,,,2,2,,,13.701033,100.516013
คณาพญา เรสซิเดนซ์,20700000,,93,,,2,2,,,13.687258,100.513781
,5500000,,47,,,1,1,,,13.798751,100.575843
,6010000,,36,,,1,1,,,13.755979,100.563553
เดอะ ริเวอร์,11500000,,63,,,1,1,,,13.721558,100.510307
ไลฟ์ แอท ลาดพร้าว 18,4370000,,40,,,1,1,,,13.807363,100.570213
,37770000,130000,161,,,3,4,,,13.723244,100.568565
แวนเทจ รัชวิภา,4260000,17000,48,,,1,1,,,13.830989,100.560297
วินด์ รัชโยธิน ,18500000,80000,160,,,1,3,,,13.828605,100.566228
,6970000,,66,,,1,1,,,,
วิสซ์ดอม คอนเนค สุขุมวิท,4120000,,29,,,1,1,,,13.685642,100.610619
,5860000,,35,,,1,1,,,13.721807,100.497809
เดอะ สกาย สุขุมวิท,4210000,,34,,,1,1,,,13.674922,100.611092
ไลฟ์ สุขุมวิท 48,3660000,,33,,,1,1,,,13.711512,100.594775
เอควา สุขุมวิท 49,11560000,55000,56,,,1,1,,,13.727726,100.575105
ศุภาลัย ปาร์ค เอกมัย-ทองหล่อ,4790000,18000,55,,,1,1,,,13.742941,100.58898
แฮปปี้ คอนโด ลาดพร้าว 101,1950000,,,,,1,1,1,2,13.788325,100.629106
The Room เจริญกรุง 30,15960000,,77,,,2,2,,,13.728981,100.515637
,3050000,18000,35,,,1,1,,,13.735621,100.574674
ไลฟ์ สุขุมวิท 48,4590000,,40,,,1,1,,,13.711512,100.594775
ไลฟ์ อโศก,3540000,,24,,,1,1,,,13.750283,100.564773
ไอดีโอ คิว สยาม - ราชเทวี,5860000,,30,,,,1,,,13.75301,100.533877
ริทึ่ม สาทร,9800000,,55,,,2,1,,,13.718825,100.532778
ไอดีโอ สาทร-ท่าพระ,2500000,9000,22,,,,1,,,13.717258,100.482319
เดอะ ไลน์ พหลโยธิน-ประดิพัทธ์,4230000,,26,,,1,1,,,13.790398,100.545904
ไบร์ท สุขุมวิท 24,36000000,,177,,,3,3,,,13.724122,100.566647
เดอะ ไลน์ จตุจักร-หมอชิต,6240000,,35,,,1,1,,,13.806244,100.556048
333 ริเวอร์ไซด์,34540000,,193,,,2,2,,,13.806523,100.51946
เอลลิโอ เดล เรย์ สุขุมวิท 64,2800000,,34,,,1,1,,,13.684212,100.604489
เลค อเวนิว,9500000,35000,84,,,1,2,,,13.731601,100.561391
ไลฟ์ อโศก,4250000,,29,,,,1,,,13.750283,100.564773
กรีเน่ คอนโด ดอนเมือง-สรงประภา,105000,,25,,,1,1,1,1,13.927464,100.584653
,11870000,,44,,,2,1,,,13.733349,100.527144
ไซมิส เอ็กซ์คลูซีฟ สุขุมวิท 31,12390000,,70,,,1,1,,,13.738236,100.566142
บ้านกลางกรุง สยาม-ปทุมวัน,6700000,,55,,,1,1,,,13.751836,100.531988
เดอะ เครสท์ สุขุมวิท 34,7800000,27000,35,,,1,1,,,13.725295,100.576498
โนเบิล รีโคล สุขุมวิท 19,6690000,,35,,,1,1,,,13.742184,100.559938
,5000000,,24,,,,1,,,13.721609,100.576892
แอชตัน จุฬา-สีลม,5670000,,25,,,,1,,,13.731096,100.531012
โนเบิล รีไฟน์,6500000,,33,,,,1,,,13.728365,100.568836
,22400000,85000,135,,,2,2,,,13.723244,100.568565
,8470000,,47,,,1,1,,,13.739801,100.551763
ริทึ่ม รัชดา,11000000,,80,,,2,2,,,13.798751,100.575843
เดอะ เวอร์ติคอล อารีย์,11710000,,75,,,2,2,,,13.778639,100.542311
มารุ เอกมัย 2,10300000,,54,,,2,2,,,13.72461,100.584823
ไฮฟ์ ตากสิน,5800000,18000,46,,,1,1,,,13.721894,100.496529
โนเบิล รีวอลฟ์ รัชดา,3600000,,25,,,1,1,,,13.763691,100.569463
,12100000,,68,,,2,1,,,13.792876,100.549181
,3900000,,29,,,1,1,,,13.754357,100.563878
,15500000,,102,,,3,2,,,13.760067,100.569381
มารุ เอกมัย 2,7220000,,34,,,1,1,,,13.72461,100.584823
ศุภาลัย เวอเรนด้า พระราม 9,2700000,,38,,,1,1,,,13.755402,100.582378
ไลฟ์ อโศก-พระราม 9 ,4400000,,35,,,1,1,,,13.754357,100.563878
ชีวาทัย เรสซิเดนซ์ อโศก,6070000,,28,,,1,1,,,,
ยู ดีไลท์ เรสซิเดนซ์ ริเวอร์ฟรอนท์ พระราม 3,4030000,17000,34,,,1,1,,,13.675303,100.532792
,600000,,32,,,1,1,1,1,,
The Room พระราม 4,8200000,,45,,,1,1,,,13.736319,100.52076
,7450000,22000,48,,,1,1,,,13.751836,100.531988
ชีวาทัย ราชปรารภ,7450000,,72,,,2,2,,,13.76182,100.542531
วายน์ สุขุมวิท,4390000,,35,,,1,1,,,13.712821,100.594265
ริทึ่ม รัชดา,8200000,,73,,,2,1,,,13.798751,100.575843
ไอดีล 24 สุขุมวิท 24 ,52000000,,327,,,4,4,,,13.723604,100.566878
,5000000,,32,,,1,1,,,13.791457,100.548475
ไลฟ์ อโศก,3720000,,24,,,1,1,,,13.750283,100.564773
,2800000,,41,,,1,1,,,13.803648,100.577779
ไอดีโอ สุขุมวิท 93,3560000,,26,,,1,1,,,13.698563,100.604805
ไลฟ์ อโศก,8600000,,58,,,2,2,,,13.750283,100.564773
เดอะ สกาย สุขุมวิท,4840000,,45,,,2,1,,,13.674922,100.611092
เอ็ม จตุจักร,8462000,,55,,,2,2,,,13.797477,100.55176
เดอะ เทมโพ,5200000,,33,,,1,1,,,13.739371,100.55033
ซี เอกมัย,7200000,,65,,,2,2,,,13.740205,100.589785
,4790000,26000,40,,,1,1,,,13.730928,100.58638
,4480000,,28,,,1,1,,,13.755979,100.563553
ไดมอนด์ รัชดา คอนโดมิเนียม,3300000,,35,,,1,1,,,13.774692,100.573953
เดอะ ไลน์ จตุจักร-หมอชิต,6390000,,35,,,1,1,,,13.806244,100.556048
อีควิน๊อกซ์ พหล-วิภา,29800000,,202,,,3,4,,,13.809275,100.559269
ควอด สาทร,3360000,15000,28,,,1,1,,,13.717384,100.530653
ไอดีโอมิกซ์ สุขุมวิท 103 ,3820000,13500,31,,,1,1,,,13.680549,100.610491
เดอะ เพรสซิเดนท์ สาทร-ราชพฤกษ์ 2,3100000,12000,35,,,1,1,,,13.719384,100.458654
ไลฟ์ สุขุมวิท 48,5720000,27000,40,,,2,1,,,13.711512,100.594775
ริทึ่ม พหล-อารีย์,10640000,,67,,,2,2,,,13.788905,100.545271
,4950000,,24,,,,1,,,13.733349,100.527144
วัน ทองหล่อ สเตชั่น,3400000,16000,30,,,1,1,,,13.721818,100.580479
,17000000,65000,105,,,2,2,,,13.721778,100.582453
เบเวอรี่ 33,5060000,29000,39,,,1,1,,,13.723392,100.58304
วิสซ์ดอม อเวนิว รัชดา-ลาดพร้าว,5310000,,34,,,1,1,,,13.80522,100.574214
เดอะ ไลน์ อโศก-รัชดา,5720000,,35,,,1,1,,,13.755979,100.563553
ไอริส แอเวนิว อ่อนนุช – วงแหวน,1100000,,28,,,1,1,1,1,13.721959,100.718305
,4500000,15000,31,,,1,1,,,13.795069,100.550558
,15000000,60000,102,,,3,2,,,13.760067,100.569381
วอร์เตอร์มาร์ค เจ้าพระยา ริเวอร์,15470000,,148,,,3,,,,13.710535,100.500849
เดอะ เครสท์ สุขุมวิท 34,8300000,35000,36,,,1,1,,,13.725295,100.576498
แอสปาย พระราม 4,6000000,,45,,,2,1,,,13.712091,100.584143
,47880000,,473,,,4,4,,,13.730275,100.579374
,2900000,,28,,,1,1,,,,
เดอะ คีย์ สาทร-เจริญราษฎร์,6100000,,56,,,2,2,,,13.701033,100.516013
ศุภาลัย พรีมา ริวา,5800000,,63,,,1,1,,,13.68844,100.549071
,2549000,,23,,,,1,,,13.772054,100.579979
,8200000,35000,46,,,1,1,,,13.740361,100.557288
,3730000,,40,,,1,1,,,13.803648,100.577779
ไซมิส สุรวงศ์,5430000,22000,34,,,1,1,,,13.729786,100.527884
ไนท์บริดจ์ ไพร์ม สาทร,5350000,,30,,,1,1,,,13.716801,100.533128
พี เอ็ม ริเวอร์ไซด์,22000000,,276,,,3,4,,,13.674483,100.546715
,5620000,,34,,,1,1,,,13.790398,100.545904
,10500000,62000,127,,,2,2,,,13.720787,100.528139
เดอะ ริทซ์–คาร์ลตัน เรสซิเดนเซส บางกอก,84550000,,229,,,,2,,,13.72389,100.527884
,3300000,18000,50,,,2,1,,,13.684841,100.61462
