CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,23000000,,91,,,2,2,,,13.727561,100.581707
,9310000,,45,,,1,1,,,13.747864,100.548372
,7121491,,35,,,1,1,,,13.747797,100.548437
The Room สาทร,9170000,,50,,0,1,,1,,13.721795,100.524176
,3700000,18000,30,,,1,1,,,13.713,100.6
ดิ เอดิเตอร์ สะพายควาย,5274112,20000,27,,,1,1,,,13.79364,100.54968
,5500000,,42,,0,1,,0,,13.759717,100.569091
The Room สุขุมวิท 21,14373000,75000,90,,0,2,,,,13.743653,100.561327
,1700000,,42,,2,1,,1,,13.687704,100.634711
,6050000,,70,,0,1,,0,,13.756266,100.571612
,15700000,,67,,17,2,,1,,13.725516,100.566202
,8400000,,93,,0,2,,0,,13.741124,100.557866
,23660000,94000,140,,0,3,,0,,13.72824,100.568202
มาเอสโตร 07 อนุสาวรีย์,4460000,,27,,,1,1,,,13.764043,100.540003
,6500000,30000,34,,2,1,,0,,13.720807,100.578825
,3000000,13000,30,,,1,1,,,13.7481,100.605
,8000000,,24,,17,1,,1,,13.759473,100.535938
ไลฟ์ อโศก-พระราม 9 ,7330000,,58,,,2,2,,,13.755352,100.564598
,10500000,,65,,,1,1,,1,,
,6000000,,79,,0,3,,0,,13.730266,100.579308
วิทยุคอมเพล็กซ์,15600000,,155,,,3,3,,,13.7487,100.549
เดอะ ปราก คอนโดมิเนียม,7500000,30000,61,,2,2,,1,,13.755496,100.514968
เดอะ พาโน ริเวอร์ฟรอนท์ ลิฟวิ่ง เซนเซชั่น,7800000,,57,,,1,1,,,13.6714,100.54182
,5700000,,39,,,1,1,,,13.717821,100.532702
,9530000,,37,,,1,1,,,,
,3600000,,36,,6,1,,1,,13.710892,100.601979
,10990000,,63,,0,2,,1,,13.749333,100.543772
แอชตัน จุฬา-สีลม,7413900,,35,,,1,1,,,13.7311,100.531
,10960602,50000,59,,,2,2,,,13.74376,100.55664
,17100000,75000,110,,28,2,,0,,13.735178,100.546223
,7100000,,74,,15,1,,1,,13.741124,100.557866
,17500000,,70,,0,2,,0,,13.73329,100.572901
เดอะ เบส พระราม 9 - รามคำแหง,2350000,,26,,,,1,,,13.7481,100.605
,16000000,,78,,0,2,,0,,13.756331,100.501765
,25500000,,243,,52,4,,0,,13.71039,100.500848
ริทึ่ม อโศก,3160000,,22,,,,1,,,13.75427,100.56447
ไอดีโอ โมบิ จรัญ-อินเตอร์เชนจ์,2989623,,21,,,,1,,,13.76227,100.47196
,15540000,,43,,,1,1,,,13.746747,100.544107
,5790000,,34,,,1,1,,,13.79052,100.54609
,18000000,,80,,,2,2,,,13.725786,100.526798
เดอะ ไลน์ จตุจักร-หมอชิต,7360000,,32,,,1,1,,,13.8062,100.5562
,7450000,,77,,0,2,,0,,13.730581,100.576887
แอชตัน อโศก,9010000,,33,,,1,1,,,13.7391,100.561
ไอดีโอ โมบิ อโศก,6592000,,35,,0,1,,0,,13.745451,100.580671
,4500000,,60,,2,1,,0,,13.722024,100.53285
แอสปาย สุขุมวิท 48,3686000,25000,38,,0,1,,0,,13.711258,100.593974
,37000000,,135,,0,3,,0,,13.73329,100.572901
,14913000,60000,90,,0,1,,0,,13.710619,100.509388
คอนโด ยู @ หัวหมาก สเตชั่น,4270891,20000,62,,,2,2,,,13.75099,100.63615
เดอะ รูม สุขุมวิท 69 ,15912000,,81,,17,2,,0,,13.714251,100.592707
,5000000,,31,,0,1,,0,,13.722078,100.497857
ไอดีโอ โมบิ สาทร,4208564,,30,,,1,1,,,13.72018,100.5027
185 ราชดำริ,24640000,70000,70,,0,1,,0,,13.735109,100.539146
แอชตัน มอร์ฟ 38,9800000,,58,,0,2,,1,,13.720807,100.578825
,5500000,,94,,,2,2,,,13.699732,100.537117
,11600000,45000,49,,,1,1,,,13.7219,100.578
,3333291,,33,,,1,1,,,13.80565,100.52647
,1300000,,23,,3,1,,0,,13.706974,100.635049
,19200000,,54,,,1,1,,,13.7329,100.582
แอชตัน จุฬา-สีลม,13432000,,58,,,2,1,,,13.7311,100.531
,6320000,,30,,,1,1,,,13.7225,100.585
,14940000,,82,,,2,1,,,13.714465,100.592784
,13425319,,51,,,1,1,,,,
,5360000,,32,,,1,1,,,13.755804,100.565881
เดอะ ลุมพินี 24,11330000,,55,,,2,2,,,13.72253,100.56624
โนเบิล รีเฟลกซ์,7040000,30000,55,,0,1,,0,,13.781674,100.543327
จอห์นนี่ ทาวเวอร์,2084241,,35,,,1,1,,,13.77381,100.57841
The Room เจริญกรุง 30,10011372,,56,,,1,1,,,13.72898,100.51564
,25750000,,136,,0,3,,0,,13.723319,100.566608
,6340000,,35,,,1,1,,,13.747864,100.548372
,5830000,,35,,,,,,,13.817434,100.562714
,14970000,,52,,,2,2,,,13.7255,100.566
เดอะ ไลน์ สุขุมวิท 101,5405109,,33,,,1,1,,,,
วินด์ สุขุมวิท 23,7850000,30000,51,,,1,1,,,13.7396,100.564
,5680000,22000,36,,0,1,,1,,13.705598,100.600962
เดอะ ไลน์ อโศก-รัชดา,5700000,,36,,,1,1,,,13.7558,100.564
,8450000,,47,,,1,1,,,13.723496,100.583391
,16006000,,74,,,2,2,,,13.728051,100.572447
,3142125,,,,0,1,,0,,13.684282,100.605085
,8990000,,,,0,1,,0,,13.721795,100.524176
สกาย วอล์ค คอนโดมิเนียม,12740000,65000,91,,0,2,,0,,13.714292,100.593536
,4100000,,33,,10,1,,0,,13.756573,100.561064
,5230000,,29,,,,1,,,,
เดอะไพร์ม สุขุมวิท 11,11660000,,83,,,2,2,,,13.74407,100.55617
,2050000,,29,,10,1,,1,,13.855394,100.547916
,19800000,,142,,0,2,,0,,13.729821,100.565017
,6020000,,31,,,,1,,,13.731223,100.585851
,8290000,,55,,,2,2,,,13.7506,100.564
วิลล่า ราชเทวี,10626000,39000,69,,0,1,,0,,13.754389,100.532219
,5900000,,,,0,1,,0,,13.696777,100.544043
ริชพาร์ค 2,3230000,,30,,,1,1,,,13.80636,100.52871
,2975000,16000,35,,0,1,,0,,13.712925,100.582644
เซนทริค อารี สเตชั่น,6250000,,34,,0,1,,0,,13.77789,100.540265
ดิ เอส อโศก,10482000,,48,,,1,1,,,13.7432,100.562
,3517320,,25,,,,1,,,,
ริทึ่ม อโศก,7220000,,42,,,2,1,,,13.75427,100.56447
,19500000,,180,,0,3,,0,,13.743738,100.587533
