CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
ไนท์บริดจ์ ไพร์ม สาทร,6600000,,44,,,1,1,,,13.716801,100.533128
,4690000,18000,35,,,1,1,,,13.788905,100.545271
,4580000,,29,,,1,1,,,13.685642,100.610619
แอชตัน เรสซิเด้นซ์ 41,17990000,,73,,,2,2,,,13.732784,100.572857
ลุมพินีเพลสพระราม 4-สาทร,2340000,13000,35,,,1,1,,,13.718437,100.549871
นารา ไนน์,6420000,26000,39,,,1,1,,,13.71782,100.532711
333 ริเวอร์ไซด์,5980000,,45,,,1,1,,,13.806523,100.51946
,9200000,45000,55,,,1,1,,,13.72271,100.582783
ไอดีโอ สุขุมวิท 93,3700000,,31,,,1,1,,,13.698563,100.604805
ไอดีโอ คิว สยาม - ราชเทวี,6770000,,34,,,1,1,,,13.75301,100.533877
เมย์แฟร์ เพลส สุขุมวิท 50,5280000,,44,,,2,1,,,13.704712,100.594891
ริทึ่ม สุขุมวิท 44/1,8200000,45000,52,,,2,1,,,13.715212,100.590594
ยู ดีไลท์ เรสซิเดนซ์ ริเวอร์ฟรอนท์ พระราม 3,5200000,,51,,,1,1,,,13.675303,100.532792
,13290000,,72,,,2,2,,,13.739801,100.551763
ไอดีโอ บลูโคฟ สาทร,3730000,,35,,,1,1,,,13.721972,100.495807
,3900000,,43,,7,1,1,,2,13.775661,100.484885
ไอดีโอ โมบิ สาทร,8510638,,39,,,1,1,,,13.721271,100.500588
The Room พระราม 4,8620000,35000,45,,,1,1,,,13.736319,100.52076
นิช โมโน รัชวิภา,2450000,,30,,,1,1,,,13.830892,100.540084
ริทึ่ม รางน้ำ,6950000,,35,,,1,1,,,13.761155,100.536971
ไลฟ์ สุขุมวิท 48,5369000,25000,39,,,2,1,,,13.711512,100.594775
,4800000,17000,58,,,2,1,,,13.719319,100.455781
,6780000,,30,,,1,1,,,13.722468,100.58455
โนเบิล เพลินจิต,17740000,,69,,,2,1,,,13.743764,100.54861
ชีวาทัย เรสซิเดนซ์ อโศก,6390000,,39,,,1,1,,,13.753899,100.564346
,9120000,,38,,,1,1,,,13.722079,100.55337
,6710000,28000,42,,,2,1,,,13.754267,100.564468
ควอทโทร บาย แสนสิริ,13800000,52000,55,,,1,1,,,13.727561,100.581708
เลอ โมนาโค เรสซิเด้นท์,55975000,,361,,,4,3,,,13.787488,100.544007
ไอดีโอ ท่าพระ อินเตอร์เชนจ์,2957446,,28,,,1,1,,,13.728973,100.475815
เดอะ ซี๊ด มิงเกิ้ล,5200000,,41,,,1,1,,,13.719886,100.539537
ริทึ่ม อโศก 2,4690000,,27,,,1,1,,,13.75391,100.564837
ยู ดีไลท์ @ ห้วยขวาง สเตชั่น,3730000,,42,,,1,1,,,13.772236,100.579882
ไอดีโอ สาทร-ท่าพระ,2520000,12000,22,,,,1,,,13.717258,100.482319
ไอดีโอมิกซ์ สุขุมวิท 103 ,3470000,,30,,,1,1,,,13.680549,100.610491
ไอดีโอ โมบิ สุขุมวิท,5200000,,43,,,1,,,,13.704024,100.602008
ไอดีโอ โมบิ สุขุมวิท อีสท์เกต,2590000,,22,,,1,1,1,1,13.665637,100.603751
ไอดีโอ สุขุมวิท 93,4330000,,34,,,1,1,,,13.698563,100.604805
โนเบิล รีวอลฟ์ รัชดา 2,3850000,,25,,,1,1,,,13.763628,100.569442
ไอดีโอ สาทร-ตากสิน,5860000,,70,,,2,2,,,13.720185,100.502037
,2680000,,30,,,1,1,,,13.716547,100.600686
ไลฟ์ รัชดาภิเษก,7450000,30000,56,,,1,1,,,13.790669,100.574196
,3340000,,26,,,1,1,,,13.75598,100.568231
โว๊ค สุขุมวิท 16,7950000,,70,,,2,2,,,13.727937,100.560895
เวีย 49,6000000,,35,,,1,1,,,13.730276,100.575962
เดอะ คีย์ สาทร-เจริญราษฎร์,6181443,,56,,,2,2,,,13.701033,100.516013
ไลฟ์ อโศก,4350000,,29,,,1,1,,,13.750283,100.564773
