CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
เดอะ ไลน์ พหลโยธิน-ประดิพัทธ์,5770000,,34,,,,,,,13.79052,100.54609
,3200000,12000,32,,0,1,,1,,13.714996,100.478566
เอดจ์ สุขุมวิท 23,8470000,30000,34,,,1,1,,,13.7391,100.563
,18900000,,143,,0,3,,0,,13.745672,100.54746
,7050000,,45,,,1,1,,,13.755019,100.561977
แอชตัน อโศก,8900000,,34,,1,1,,1,,13.738875,100.561336
,17971569,70000,77,,,2,2,,,13.73174,100.57027
The Room สาทร,9630000,,50,,0,1,,1,,13.721795,100.524176
วัน ทองหล่อ สเตชั่น,6000000,25000,50,,,1,1,,,13.72174,100.58067
,21115000,,129,,0,2,,0,,13.710619,100.509388
ลาวีค สุขุมวิท 57,21500000,,79,,,2,2,,,13.7245,100.58
,14000000,,,,,2,2,,,13.72655,100.508356
เดอะโคลเวอร์,5000000,,45,,,1,1,,1,,
,15500000,,230,,,1,1,,,13.74229,100.573202
,3300000,,31,,0,1,,0,,13.717258,100.482319
,11680000,,57,,,2,2,,,13.733639,100.585006
คิวเฮ้าส์คอนโด สุขุมวิท 79,5100479,25000,30,,,1,1,,,13.70759,100.60064
,17570000,,61,,,1,1,,,13.72795,100.51117
,7100000,,50,,,1,1,,,13.733944,100.571353
,15500000,,61,,,1,1,,,13.727,100.51
,4300000,,,,0,,,0,,13.750044,100.483532
,7200000,,35,,,1,1,,,13.7421,100.56
เซเรเน่ เพลส สุขุมวิท 24,8000000,,49,,0,1,,0,,13.726547,100.567412
เดอะ ไลน์ อโศก-รัชดา,5690000,,35,,,1,1,,,13.7558,100.564
แอสปาย รัชดา–วงศ์สว่าง,2219015,,26,,,1,1,,,13.83074,100.52531
,5990000,,68,,2,2,,0,,13.705011,100.601796
,7210000,,39,,0,1,,0,,13.747925,100.545775
เลอ ลัก คอนโดมิเนียม,4500000,,39,,14,1,,0,,13.714803,100.593277
,4232000,,32,,,1,1,,,13.7466,100.606
,9800000,,46,,,2,1,,,13.748363,100.56278
แอชตัน จุฬา-สีลม,7268462,,33,,,1,1,,,13.7311,100.53101
เดอะ ไลน์ ราชเทวี,7920000,,32,,,,,,,13.8062,100.5562
ริทึ่ม รางน้ำ,10800000,,57,,,2,2,,,13.76104,100.53706
,7500000,,,,0,1,,0,,13.745672,100.54746
,15800000,,71,,1,2,,1,,13.721175,100.579126
,11900000,42000,67,,,2,2,,,13.7141,100.602
,8200000,,36,,,1,,,,13.739394,100.561413
ซาริ บาย แสนสิริ,4300000,,40,,,1,1,,,13.6873,100.607
,71000000,,202,,,3,3,,,13.733247,100.582098
,10000000,42000,69,,0,2,,1,,13.739281,100.572775
