CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
28 ชิดลม,38500000,,103,,,2,2,,,13.7468,100.544
,11000000,45000,58,,,1,1,,,13.7359,100.549
เดอะ แบงค็อค สาทร,13081000,,68,,0,1,,1,,13.718495,100.520318
,7815750,,150,,,3,3,,,13.83347,100.56935
คีนน์ บาย แสนสิริ,8000000,30000,34,,,1,1,,,13.7249,100.577
,4111500,17000,32,,,1,1,,,13.7304,100.588
ดิแอดเดรสสยาม,10275000,40000,75,,0,2,,0,,13.752121,100.534351
วินด์ สุขุมวิท 23,50000000,,190,,21,3,,1,,13.739699,100.564435
,2000000,,28,,19,1,,1,,13.784563,100.460981
,10100000,65000,126,,22,2,,1,,13.720787,100.52819
เดอะ เครสท์ สุขุมวิท 49,5520000,,34,,,,,,,13.73044,100.57707
,4500000,,70,,,1,1,,,13.748714,100.549257
,6500000,24000,40,,22,1,,1,,13.748806,100.563073
ไอดีโอ โอทู,3255244,,33,,,1,1,,,13.67334,100.60481
ไอวี่ ทองหล่อ,8900000,,44,,0,1,,0,,13.737228,100.583538
คอนโดเลต ไอซ์ ราชเทวี,5814331,,30,,,1,1,,,13.75338,100.53094
,4350000,15500,15500,,0,1,,1,,13.774667,100.573963
,14000000,,78,,22,2,,1,,13.750082,100.55607
มอนเทอเรย์ เพลส,4700000,,58,,0,1,,1,,13.724044,100.562161
เลอ ลัก คอนโดมิเนียม,4900000,,40,,0,1,,1,,13.714803,100.593277
เดอะ เนสท์ เพลินจิต,7080000,,41,,,1,1,,,13.74634,100.54949
ดีบุราพรานนก,4000000,12000,29,,,,1,,,13.7568,100.477
,4841000,16000,28,,8,1,,1,,13.836155,100.563368
,6500000,,,,0,,,0,,13.714292,100.593536
,13346533,55000,89,,,2,2,,,13.73784,100.56637
เดอะ เบส สุขุมวิท 77,2850000,15000,30,,,1,1,,,13.7108,100.602
,5394276,30000,46,,,1,1,,,13.73467,100.58483
,6900000,30000,55,,2,1,,1,,13.736895,100.556131
,7380000,24000,42,,11,2,,1,,13.711304,100.594628
,5286417,,28,,,1,1,,,13.747797,100.548437
,12500000,,108,,,2,2,,,13.674774,100.534755
,2750000,,26,,11,1,,0,,13.712958,100.599685
แอชตัน อโศก,7642495,,32,,,1,1,,,13.73701,100.56039
,3360000,25000,42,,0,2,,0,,13.71374,100.595537
เดอะ ไลน์ จตุจักร-หมอชิต,6200000,,34,,,1,1,,,13.8062,100.5562
,13500000,,90,,,1,1,,,13.723252,100.566809
,6400000,,35,,,1,1,,,13.7478,100.548
,12250000,50000,175,,0,2,,0,,13.735821,100.568503
แอชตัน อโศก,9200000,,35,,,1,1,,,13.73701,100.56039
,6210000,,27,,0,1,,0,,13.725505,100.565748
คลิ๊กคอนโด สุขุมวิท 65,10478000,50000,124,,0,3,,0,,13.722094,100.587966
,29900000,,177,,2,3,,0,,13.6941,100.605003
,8250000,,49,,,1,1,,,,
อมันตา ลุมพินี,16800000,,92,,0,2,3,1,3,13.723324,100.550812
แบงค์คอก ฮอไรซอน สาทร,3364146,,28,,,,1,,,13.71279,100.53329
อมันตา ลุมพินี,10500000,40000,78,,0,2,,1,,13.723018,100.55127
,3242000,,,,0,,,0,,13.834737,100.572549
,10000000,,50,,,1,1,,,,
ไบร์ท สุขุมวิท 24,13500000,,69,,,1,1,,1,,
โนเบิล โซโล,6500000,33000,52,,0,1,,0,,13.740159,100.585009
ไอวี่ ทองหล่อ,9800000,33800,43,,11,1,,1,,13.737228,100.583538
,7000000,,118,,,3,2,,,13.74693,100.556054
,4300000,,29,,,1,1,,,13.724949,100.563278
เดอะ ไลน์ ราชเทวี,14300000,,61,,,2,2,,,13.7524,100.534
,29870000,,137,,76,4,,0,,13.720439,100.509914
,8500000,,46,,0,1,,0,,13.807305,100.519644
,12100000,40000,68,,,2,2,,,13.7141,100.602
,2160000,,26,,,,1,,,13.71343,100.46398
,6900000,,35,,,1,1,,,13.731223,100.585851
แอสปาย สาทร-ท่าพระ,3023145,,31,,,1,1,,,13.71501,100.47866
,22940000,100000,148,,0,3,,0,,13.729476,100.563073
ริทึ่ม สุขุมวิท,6820000,,46,,0,1,,1,,13.706471,100.599741
,1590000,,26,,2,1,,0,,13.721912,100.715192
,8500000,,80,,,2,2,,,13.742115,100.558557
,20900000,55000,78,,,2,2,,,13.7198,100.522
เดอะ ลุมพินี 24,5970000,,26,,0,1,,0,,13.722459,100.566197
,9500000,,99,,,2,2,,,13.739011,100.559015
โนเบิล รีไฟน์,12500000,,70,,0,2,,0,,13.728331,100.570729
ไอดีโอ คิว สุขุมวิท 36,7565294,,39,,,1,1,,,,
เดอะ ลุมพินี 24,13800000,,55,,0,2,,0,,13.722459,100.566197
เดอะโคลเวอร์,5000000,,45,,,1,1,,1,,
ไลฟ์ อโศก,4550000,,29,,,1,1,,,13.750507,100.563889
,3500000,20000,59,,,1,1,,,,
,14060000,,58,,,1,1,,,13.726133,100.581687
,4167059,,32,,0,1,,1,,13.705855,100.597221
,20000000,,167,,,,,,,13.719151,100.508972
,7700000,,122,,,2,2,,,13.7375,100.553
,11620000,,188,,0,3,,1,,13.729724,100.591185
,12000000,70000,112,,0,2,,1,,13.739922,100.541005
,5903533,25000,34,,,1,1,,,13.72519,100.5745
,28000000,110000,136,,9,2,,0,,13.723704,100.566898
,5993000,,34,,0,1,,0,,13.728331,100.570729
ไลฟ์ อโศก,4060000,,29,,,1,1,,,13.750507,100.563889
เดอะ ไลน์ จตุจักร-หมอชิต,6600000,24000,32,,,1,1,,,13.806,100.557
,8100000,,66,,0,2,,1,,13.724516,100.581644
,5200000,,70,,0,2,,0,,13.681717,100.610376
โฟคัส ออน ศาลาแดง,5230000,,34,,,1,1,,,13.72679,100.53718
,8976000,46000,68,,0,2,,0,,13.718617,100.527071
,2690000,,32,,0,1,,0,,13.728698,100.478301
,25680000,89000,120,,0,2,,0,,13.741234,100.54931
ศุภาลัย เอลีท แอท พญาไท,6630000,,44,,,1,1,,,13.757,100.539
