CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
ไอดีโอ คิว จุฬา-สามย่าน,6000000,,24,,,1,1,,,13.733349,100.527144
ริทึ่ม อโศก 2,4980000,,27,,,1,1,,,13.75391,100.564837
,13850000,45000,77,,,2,2,,,13.687433,100.517984
ควินน์ คอนโด รัชดา17,5060000,20000,35,,,1,1,,,13.786325,100.573246
ยูดีไลท์ 3 ประชาชื่น-บางซื่อ,2560000,,31,,,1,1,,,13.825056,100.537588
,2200000,,28,,,1,1,,,13.774053,100.576856
,5639000,,41,,,1,1,,,13.75598,100.568231
เมอร์ราญา เพลส ลาดพร้าว 27,2070000,,35,,,1,1,1,2,13.804221,100.578315
ไอดีโอเวิร์ฟ,7800000,,49,,,2,1,,,13.754496,100.54253
,5945000,,48,,,1,1,,,13.729919,100.5075
อีควิน๊อกซ์ พหล-วิภา,4100000,20000,31,,,1,1,,,13.809454,100.55895
คิว ชิดลม-เพชรบุรี,11944329,,62,,,1,1,,,13.749404,100.543869
,9526000,,33,,,1,1,,,13.719733,100.522404
ไอดีโอ คิว สยาม - ราชเทวี,6570000,,34,,,1,1,,,13.75301,100.533877
นายน์ บาย แสนสิริ,4580000,19000,36,,,1,1,,,13.721807,100.497809
โนเบิล รีโว สีลม,9100000,,66,,,2,2,,,13.719509,100.519492
ไอดีโอ โมบิ พระราม 9,3730000,,22,,,,1,,,13.755643,100.565972
ไอดีโอ โมบิ พระราม 9,4800000,,31,,,1,1,,,13.755643,100.565972
,6000000,30000,34,,,1,1,,,13.725192,100.574495
,12000000,55000,128,,,2,2,,,13.742923,100.572249
เมโทร สกาย รัชดา,2700000,,27,,,1,1,,,13.784071,100.571346
โนเบิล รีวอลฟ์ รัชดา,3400000,,25,,,1,1,,,13.763691,100.569463
วิลล่าอโศก,7350000,,52,,,1,1,,,13.748849,100.561572
แอชตัน สีลม,22760000,,86,,,2,2,,,13.726391,100.526828
ศุภาลัย คาซ่า ริวา,8512000,28000,107,,,2,2,,,13.69514,100.494631
ไอดีโอเวิร์ฟ,6900000,23500,56,,,2,1,,,13.754496,100.54253
ริทึ่ม รัชดา,9050000,,73,,,2,2,,,13.798751,100.575843
,7960000,35000,51,,,2,2,,,13.704024,100.602008
185 ราชดำริ,49000000,,127,,,2,2,,,13.735771,100.539092
,6000000,,33,,,1,1,,,13.748426,100.565972
ไอดีโอ โมบิ อโศก,6425000,,34,,,1,1,,,13.748426,100.565972
คาซ่า คอนโด อโศก-ดินแดง ,2163000,,26,,,,1,,,13.760815,100.555733
333 ริเวอร์ไซด์,6490000,,46,,,1,1,,,13.806523,100.51946
ดิแอดเดรสพญาไท,9050000,,62,,,2,1,,,13.759357,100.531765
แอชตัน มอร์ฟ 38,15920000,55000,74,,,2,2,,,13.720934,100.579078
ลุมพินีเพลสพระราม 4-สาทร,6920000,29000,76,,,2,2,,,13.718437,100.549871
,7130000,,35,,,1,1,,,13.722468,100.58455
,8360000,,38,,,1,1,,,13.722468,100.58455
ฟิวส์ สาทร - ตากสิน,4470000,,35,,,1,1,,,13.720432,100.496983
ศาลาแดง วัน,40000000,,113,,,2,2,,,13.726661,100.541131
ควอทโทร บาย แสนสิริ,13400000,53000,54,,,1,1,,,13.727561,100.581708
ดิ แอดเดรส สุขุมวิท 42,8300000,37000,78,,,2,2,,,13.716839,100.585358
,4790000,,38,,,1,1,,,13.795069,100.550558
เดอะ ไลน์ จตุจักร-หมอชิต,4720000,,27,,,1,1,,,13.806244,100.556048
ริทึ่ม สาทร,7000000,,38,,,1,1,,,13.717856,100.516763
,2691000,,29,,,1,1,,,13.712813,100.582698
ศุภาลัย ริวา แกรนด์,6500000,,62,,,1,1,,,13.677844,100.547267
ริทึ่ม รางน้ำ,5150000,,28,,,1,1,,,13.761155,100.536971
แอชตัน จุฬา-สีลม,7310000,,33,,,1,1,,,13.731096,100.531012
นิมิตร หลังสวน,31200000,,80,,,2,2,,,13.735221,100.54161
แอชตัน จุฬา-สีลม,6800000,,33,,,1,1,,,13.731096,100.531012
โนเบิล รีมิกซ์,15000000,60000,92,,,2,2,,,13.724502,100.577252
ศุภาลัย ปาร์ค เอกมัย-ทองหล่อ,4450000,,55,,,1,1,1,1,13.743637,100.588941
เมโทร สกาย รัชดา,3820000,,35,,,1,1,,,13.784071,100.571346
ไอดีโอ คิว จุฬา-สามย่าน,6000000,,24,,,1,1,,,13.733349,100.527144
,45850000,95000,153,,,3,,,,13.721778,100.582453
เซอร์เคิล คอนโดมิเนียม,8900000,38000,75,,,2,2,,,13.749275,100.555941
ศุภาลัย พรีมา ริวา,5700000,,58,,,1,1,,,13.68844,100.549071
เวีย โบทานิ,6300000,25000,35,,,1,1,,,13.731497,100.574932
ไลฟ์ อโศก-พระราม 9 ,3580000,,28,,,,1,,,13.754357,100.563878
