CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
,9190000,35000,58,,,1,1,,,13.743554,100.544958
,8440000,,52,,,2,1,,,13.790398,100.545904
ไลฟ์ อโศก,4450000,,30,,,1,1,,,13.750283,100.564773
เดอะ พาร์คแลนด์ รัชดา-ท่าพระ,2070000,,35,,,1,1,,,13.71039,100.479278
ไลฟ์ อโศก,4350000,,29,,,1,1,,,13.750283,100.564773
อีควิน๊อกซ์ พหล-วิภา,5100000,21000,39,,,1,1,,,13.809454,100.55895
เมโทร สกาย รัชดา,3120000,,30,,,1,1,,,13.784071,100.571346
333 ริเวอร์ไซด์,7100000,,46,,,1,1,,,13.806523,100.51946
ลุมพินีเพลส พระราม 3-ริเวอร์ไรน์,4040000,,39,,,2,2,,,13.675132,100.539449
เดอะ ไลน์ อโศก-รัชดา,5770000,,35,,,1,1,,,13.755979,100.563553
ฮาสุ เฮาส์,4950000,,37,,,1,1,,,13.714298,100.602336
,3600000,16000,33,,,1,1,,,13.703664,100.504264
,4660000,25000,45,,,1,1,,,13.716839,100.585358
โนเบิล รีโคล สุขุมวิท 19,6690000,,35,,,1,1,,,13.742184,100.559938
แอชตัน มอร์ฟ 38,16000000,,76,,,1,2,,,13.720934,100.579078
,5076000,20000,46,,,1,1,,,13.798751,100.575843
ไลฟ์ อโศก,3720000,,24,,,,1,,,13.750283,100.564773
ริทึ่ม อโศก,2845000,,22,,,1,1,,,13.754267,100.564468
,7380000,,45,,,1,1,,,13.795858,100.550205
,2550000,,26,,,1,1,,,13.740556,100.60006
,6230000,,44,,,1,1,,,13.756987,100.539217
ไลฟ์ อโศก,4120000,,24,,,1,1,,,13.750283,100.564773
ริทึ่ม สาทร,7447000,,38,,,1,1,,,13.718825,100.532778
ไอดีโอ คิว ราชเทวี,6600000,25000,34,,,1,1,,,13.75282,100.533865
ไอดีโอ รัชดา-ห้วยขวาง,3300000,14000,26,,,,1,,,13.778353,100.57407
,40000,,32,,,1,1,1,3,,
เดอะ เครสท์ สุขุมวิท 34,24200000,,114,,,2,3,,,13.725295,100.576498
,2530000,,34,,,1,1,,,13.681708,100.610365
เซอร์เคิล สุขุมวิท 11,13920000,,94,,,2,2,,,13.749738,100.556046
,2461700,,26,,,1,1,,,13.753416,100.576341
,12140000,,79,,,2,2,,,13.722909,100.576852
,3200000,13000,36,,,1,1,,,13.803648,100.577779
อัพ เอกมัย,5640000,25000,40,,,1,1,,,13.739269,100.588721
ไอดีโอ สุขุมวิท 93,3300000,,25,,,1,1,,,13.698563,100.604805
ไอดีโอเวิร์ฟ,8520000,,71,,,2,2,,,13.754496,100.54253
,6700000,,48,,,1,1,,,13.744076,100.587201
,4260000,,48,,,1,1,,,13.726568,100.528252
บ้านชมดาว,950000,,35,,,1,1,1,1,13.554359,100.348905
,21230000,62000,115,,,2,2,,,13.730626,100.573124
วิลล่า ราชเทวี,8050000,,55,,,1,1,,,13.754345,100.532544
เอดจ์ สุขุมวิท 23,9490000,,43,,,1,1,,,13.736521,100.563365
,7500000,,42,,,1,1,,,13.743554,100.544958
เดอะ ไลน์ พหลโยธิน-ประดิพัทธ์,5790000,,34,,,1,1,,,13.790398,100.545904
,7000000,,68,,,1,1,,,13.721248,100.517142
แชปเตอร์วัน มิดทาวน์ ลาดพร้าว 24,3980000,,30,,,1,1,,,13.806471,100.572747
ยู ดีไลท์ @ ตลาดพลู สเตชั่น,3617000,13500,30,,,1,1,,,13.709852,100.479507
ฟิวส์ จันทน์-สาทร,3351000,,30,,,1,1,,,13.705683,100.530433
333 ริเวอร์ไซด์,14030000,,94,,,2,2,,,13.806523,100.51946
แอชตัน สีลม,26790000,,76,,,2,2,,,13.726391,100.526828
,2575000,,27,,,,1,,,13.797932,100.555789
,7630000,,40,,,1,1,,,13.743554,100.544958
,2470000,,24,,,,1,,,,
ริทึ่ม สาทร,7450000,,45,,,1,1,,,13.717856,100.516763
ริทึ่ม อโศก 2,3620000,,22,,,1,1,,,13.75391,100.564837
แชปเตอร์วัน มิดทาวน์ ลาดพร้าว 24,5200000,,39,,,1,1,,,13.806471,100.572747
,8330000,32000,48,,,1,1,,,13.723244,100.568565
เดอะ เซนต์ เรสิเดนเซส ,4130000,,30,,,1,1,,,,
แอสปาย พระราม9,5610000,,49,,,2,1,,,13.754805,100.566923
แม่น้ำ เรสซิเดนท์,12000000,,77,,,2,2,,,13.705249,100.506916
,6335000,,35,,,,1,,,13.795858,100.550205
เดอะ ไลน์ จตุจักร-หมอชิต,5850000,,34,,,1,1,,,13.806244,100.556048
ไอดีโอเวิร์ฟ,5000000,,34,,,1,1,,,13.754496,100.54253
วิลล่า ราชเทวี,6190000,19000,40,,,,1,,,13.754345,100.532544
อีควิน๊อกซ์ พหล-วิภา,4900000,24000,39,,,1,1,,,13.809454,100.55895
เดอะ ไลท์เฮ้าส์ สาทร-เจริญนคร,5680000,28000,48,,,1,1,,,13.7224,100.508352
เดอะ ไลน์ จตุจักร-หมอชิต,4830000,,,,,1,1,,,13.806244,100.556048
,5504964,,50,,,1,1,,2,,
แอ็บสแตร็กส์ พหลโยธิน พาร์ค,3810000,,38,,,1,1,,,13.818025,100.564932
บ้านสาทร เจ้าพระยา,5160000,,60,,,1,1,,,13.718971,100.509141
,5800000,,51,,,1,1,,,13.77788,100.573958
เมโทร ปาร์ค สาทร,3410000,,58,,,2,1,,,13.709118,100.451345
เดอะ เทมโป แกรนด์ สาทร-วุฒากาศ,3400000,15000,30,,,1,1,,,13.712604,100.467943
ไลฟ์ อโศก-พระราม 9 ,8150000,,58,,,2,2,,,13.754357,100.563878
ซาริ บาย แสนสิริ,3400000,,35,,,1,1,,,13.687312,100.606829
พลัส 38 ฮิป,4575000,20000,50,,,1,1,,,13.721383,100.577847
เดอะ เครสท์ สุขุมวิท 34,10000000,,46,,,1,1,,,13.725295,100.576498
,11950000,,68,,,2,2,,,13.75598,100.568231
,6400000,,30,,,1,1,,,13.722468,100.58455
เดอะ แบงค็อค สาทร,16680000,,61,,,1,1,,,13.71916,100.52069
ไลฟ์ รัชดาภิเษก,5500000,20000,47,,,2,1,,,13.790669,100.574196
คาซ่า คอนโด อโศก-ดินแดง ,2560000,11000,26,,,,1,,,13.760815,100.555733
เดอะ ไลท์เฮ้าส์ สาทร-เจริญนคร,3000000,,30,,,1,1,,,13.7224,100.508352
เดอะ คีย์ วุฒากาศ ,2800000,,33,,,1,1,,,13.713949,100.468175
,8530000,,47,,,1,1,,,13.739801,100.551763
,5100000,,65,,,2,2,,,13.711298,100.479447
โนเบิลเฮ้าส์ พญาไท,6350000,,67,,,2,1,,,13.759012,100.535288
โนเบิล เพลินจิต,13200000,,45,,,1,1,,,13.743764,100.54861
,6300000,28000,40,,,2,1,,,13.754267,100.564468
,8770000,,71,,,2,2,,,13.71404,100.594641
,25500000,85000,161,,,3,3,,,13.723244,100.568565
ไฮด์ สุขุมวิท,,,125,,,3,3,,,13.740361,100.557288
โนเบิล รีวอลฟ์ รัชดา,3410000,,22,,,1,1,,,13.763691,100.569463
,4790000,22000,41,,,1,1,,,13.717117,100.589111
ไอดีโอ คิว จุฬา-สามย่าน,7100000,,33,,,1,1,,,13.733349,100.527144
เดอะ ไลน์ จตุจักร-หมอชิต,12380000,,63,,,2,2,,,13.806244,100.556048
ไนท์บริดจ์ ไพร์ม สาทร,5670000,,37,,,1,1,,,13.716801,100.533128
,30620000,,95,,,2,2,,,13.727956,100.511167
ศุภาลัย พรีเมียร์ แอท ราชเทวี,12770000,40000,95,,,2,2,,,13.75487,100.526029
ไอดีโอ โอทู,5000000,,46,,30,2,1,1,2,13.673437,100.604814
ไอดีโอ สุขุมวิท 93,9100000,,60,,,2,2,,,13.698563,100.604805
แอชตัน อโศก,10820000,,34,,,1,1,,,13.738898,100.5609
ไลฟ์ สุขุมวิท 48,3600000,,33,,,1,1,,,13.711512,100.594775
เดอะ รูม สาทร-เซนต์หลุยส์,4850000,,35,,,1,1,,,13.707455,100.526693
แอชตัน อโศก,9000000,,36,,,1,1,,,13.738898,100.5609
โนเบิล เพลินจิต,26280000,63000,77,,,1,1,,,13.743764,100.54861
ควอด สีลม,11660000,65000,69,,,2,2,,,13.724,100.530389
เมซองเดอวิลล์,2200000,,32,,,1,1,,,13.792032,100.547813
,1850000,,50,,,2,1,2,3,,
,6160000,,34,,,1,1,,,13.717004,100.584723
,4040000,16000,31,,,1,1,,,13.712959,100.600039
เดอะ รูม สาทร-เซนต์หลุยส์,4740000,,35,,,1,1,,,13.707455,100.526693
,5500000,25000,50,,,1,1,,,13.725077,100.568533
,5220000,,35,,,1,1,,,13.717856,100.516763
,3840000,,35,,,1,1,,,13.79728,100.552184
เดอะ รูม สุขุมวิท 69 ,6710000,25000,35,,,1,1,,,13.714446,100.592856
,4000000,18000,36,,,1,1,,,13.798751,100.575843
คิว หลังสวน,27000000,,106,,,2,2,,,13.739171,100.542975
ไอดีโอ โมบิ พระราม 9,8520000,,55,,,1,1,,,13.755643,100.565972
ริทึ่ม สุขุมวิท 36 – 38,5320000,20000,24,,,1,1,,,13.721609,100.576892
แอชตัน จุฬา-สีลม,7900000,,35,,,1,1,,,13.731096,100.531012
,3620000,,34,,,1,1,,,13.79728,100.552184
ไอดีโอ คิว ราชเทวี,10250000,,48,,,2,1,,,13.75282,100.533865
ไอดีโอ โมบิ อโศก,9900000,,55,,,2,1,,,13.748426,100.565972
เมโทร สกาย รัชดา,3120000,,30,,,1,1,,,13.784071,100.571346
ไลฟ์ รัชดาภิเษก,7200000,,66,,,2,1,,,13.790669,100.574196
ซี เอกมัย,3379000,,30,,,1,1,,,13.740205,100.589785
ไอดีโอ สาทร-ท่าพระ,2800000,10000,22,,,,1,,,13.717258,100.482319
วิลล่า ราชเทวี,12720000,45000,70,,,1,1,,,13.754345,100.532544
แอสปาย พระราม 4,5000000,,56,,,2,2,,,13.712091,100.584143
ลุมพินี วิลล์ อ่อนนุช-พัฒนาการ,1800000,8000,26,,,1,1,1,1,13.717622,100.654523
เดอะ ซิกเนเจอร์ บาย เออร์บาโน่,6600000,,34,,,1,1,,,13.792876,100.549181
ลุมพินี วิลล์ ประชาชื่น-พงษ์เพชร 2,1850000,,27,,15,1,1,1,1,13.845688,100.542549
ซาริ บาย แสนสิริ,4490000,,43,,,1,1,,,13.687312,100.606829
โอกะ เฮ้าส์ สุขุมวิท 36,3970000,,27,,,1,1,,,13.71581,100.574985
,10640000,50000,65,,,1,1,,,13.723244,100.568565
The Room พระราม 4,8520000,,45,,,1,1,,,13.736319,100.52076
คาซ่า คอนโด อโศก-ดินแดง ,2550000,,26,,,1,1,,,13.760815,100.555733
ไอดีโอ สาทร-ท่าพระ,2900000,,22,,,,1,,,13.717258,100.482319
ศุภาลัย พรีเมียร์ แอท ราชเทวี,6400000,,54,,,1,1,,,13.75487,100.526029
,35060000,85000,85,,,2,2,,,13.72974,100.581259
333 ริเวอร์ไซด์,18000000,,94,,,2,2,,,13.806523,100.51946
เออร์บาโน่ แอบโซลูท สาทร-ตากสิน,4570000,,38,,,1,1,,,13.721125,100.507202
เดอะ พาโน ริเวอร์ฟรอนท์ ลิฟวิ่ง เซนเซชั่น,17600000,,159,,,2,2,,,13.671397,100.541818
แชปเตอร์วัน มิดทาวน์ ลาดพร้าว 24,3900000,,31,,,1,1,,,13.806471,100.572747
แอสปาย รัชดา–วงศ์สว่าง,2430000,,26,,,1,1,,,13.830736,100.525306
,5610000,,37,,,1,1,,,13.751983,100.534693
ไอดีโอ โมบิ สาทร,7680000,,61,,,2,2,,,13.721271,100.500588
แมกโนเลียส์ วอเตอร์ฟรอนท์ เรสซิเดนซ์ ณ ไอคอนสยาม,25670000,,79,,,1,1,,,13.727956,100.511167
เมโทร ปาร์ค สาทร,2130000,,32,,,1,1,,,13.709118,100.451345
,30660000,,92,,,2,2,,,13.731507,100.570729
โนเบิลโอร่า,15960000,50000,115,,,2,2,,,13.735373,100.584167
ศุภาลัย พรีเมียร์ @ อโศก,7400000,33000,78,,,2,2,,,13.744737,100.562745
,2380000,,35,,,1,1,,,13.75685,100.560255
ไอดีโอ โมบิ พระราม 9,5000000,17000,31,,,1,1,,,13.755643,100.565972
,16000000,,76,,,2,2,,,13.723379,100.561026
ไลฟ์ สุขุมวิท 48,5660000,,49,,,1,1,,,13.711512,100.594775
