CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
ไอวี แอมพิโอ,7400000,,44,,,1,1,,,13.762857,100.568267
รีเจ้นท์ออนเดอะปาร์ค 3,15960000,55000,230,,,3,3,,,13.742239,100.573339
ชีวาทัย ราชปรารภ,5160000,23000,48,,,2,2,,,13.76182,100.542531
เบล อเวนิว พระราม 9,24580000,,128,,,2,2,,,13.760067,100.569381
ริทึ่ม อโศก 2,4970000,,28,,,1,1,,,13.75391,100.564837
ดิ แอดเดรส อโศก,6400000,,45,,,1,1,,,13.749514,100.561981
เอ สเปซ ไอดี อโศก-รัชดา,5247000,,33,,,1,1,,,13.756804,100.560239
เซ็นทริค ซีน รัชวิภา,2990000,9900,42,,,1,1,1,2,13.830519,100.532651
ริทึ่ม รางน้ำ,6970000,,35,,,1,1,,,13.761155,100.536971
ไอวี่ ริเวอร์ ราษฎร์บูรณะ ,2610000,,39,,,1,1,,,13.688184,100.492293
เดอะบางกอก ,14400000,60000,120,,,3,3,,,13.73117,100.527316
ไอดีโอ มอร์ฟ 38,5250000,,34,,,1,1,1,2,13.720762,100.57926
,6500000,35000,95,,,2,2,,,13.724737,100.581675
ดิ เอดิเตอร์ สะพายควาย,6000000,,37,,,1,1,,,13.794136,100.549538
ไอดีโอ คิว ราชเทวี,10210000,,51,,,1,1,,,13.75282,100.533865
,7750000,,37,,,1,1,,,13.743168,100.561734
คาซ่า คอนโด รัชดา-ราชพฤกษ์ ,3730000,,35,,,1,1,,,13.713727,100.476237
333 ริเวอร์ไซด์,7100000,,40,,,1,1,,,13.806523,100.51946
ไอดีโอ โมบิ อโศก,5900000,,35,,,1,1,,,13.748426,100.565972
ลิฟ แอท ไฟว์,6087266,,47,,,1,1,,,13.743638,100.554559
,6310000,,41,,,1,1,,,13.75598,100.568231
แอสปาย สาทร-ตากสิน (บริค โซน),2500000,,26,,,1,1,,,13.715635,100.479962
ไอดีโอมิกซ์ สุขุมวิท 103 ,3490000,14000,31,,,1,1,,,13.680549,100.610491
ริทึ่ม สาทร,8511000,45000,54,,,2,1,,,13.718825,100.532778
วิลล่า ราชเทวี,6700000,,42,,,1,1,,,13.754345,100.532544
,5120000,,34,,,1,1,,,13.790398,100.545904
วิสซ์ดอม อเวนิว รัชดา-ลาดพร้าว,5230000,,35,,,1,1,,,13.80522,100.574214
,15500000,90000,194,,,2,3,,,13.720641,100.528207
ไอดีโอ คิว สยาม - ราชเทวี,6570000,,34,,,1,1,,,13.75301,100.533877
นอตติ้ง ฮิลล์ ดิ เอ็กซ์คลูซีฟ เจริญกรุง,3920000,,36,,,1,1,,,13.703664,100.504264
คิวเฮ้าส์ คอนโด สาทร ,5350000,19000,47,,,1,1,,,13.72129,100.501253
ซี เอกมัย,4160000,,32,,,1,1,,,13.740205,100.589785
คีนน์ บาย แสนสิริ,7500000,35000,37,,,1,1,,,13.724993,100.576933
ไอดีโอ โมบิ อโศก,6610000,,35,,,1,1,,,13.748426,100.565972
ไอดีโอ สาทร-ท่าพระ,2000000,,21,,,1,1,,,13.717258,100.482319
นิช ไพรด์ ทองหล่อ-เพชรบุรี,4500000,,35,,,1,1,,,13.744899,100.583468
อัลติจูด สามย่าน-สีลม,7416000,,40,,,1,1,,,13.731878,100.526063
ไดมอนด์ รัชดา คอนโดมิเนียม,4600000,,50,,,2,2,,,13.774692,100.573953
เดอะ พาโน,17000000,,100,,,2,2,,,13.671397,100.541818
ดิ เอส อโศก,18560000,,76,,,2,2,,,13.743168,100.561734
,2500000,13000,30,,,1,1,,,13.760815,100.555733
The Room สุขุมวิท 64,3400000,17000,41,,,1,1,,,13.68622,100.604799
ไอดีโอ โมบิ สุขุมวิท,3120000,,21,,,1,1,,,13.704024,100.602008
,11340000,,59,,,2,2,,,13.751983,100.534693
แอสปาย สาทร-ท่าพระ,3213082,,31,,,1,1,,,13.715635,100.479962
ไลฟ์ แอท สาทร 10,8723000,,63,,,2,2,,,13.7226,100.527373
ริทึ่ม สาทร,6900000,,46,,,2,1,,,13.718825,100.532778
,14600000,,63,,,2,2,,,13.760893,100.536221
ไอดีโอ คิว ราชเทวี,8250000,30000,49,,,2,1,,,13.75282,100.533865
ไลฟ์ แอท ท่าพระ,3300000,,49,,,2,1,,,13.718129,100.48015
สาทรพลัส บายเดอะการ์เดนท์,6500000,,74,,,2,2,,,13.715739,100.547055
,5350000,,35,,,1,1,,,13.788905,100.545271
ออนิกซ์ พหลโยธิน,5980000,,41,,,1,1,,,13.791457,100.548475
,7630000,,40,,,1,1,,,13.743554,100.544958
,2480000,13000,40,,,1,1,,,13.678308,100.606222
,5680000,,65,,,2,2,,,13.711298,100.479447
เดอะ พาร์คแลนด์ เพชรเกษม – ท่าพระ,3080000,12000,32,,,1,1,,,13.728395,100.477949
ไอดีโอ สาทร-ท่าพระ,3085000,12000,22,,,1,1,,,13.717258,100.482319
ริทึ่ม รัชดา,5300000,25000,47,,,1,1,,,13.798751,100.575843
มาเอสโตร สุขุมวิท 39,7910000,49000,59,,,2,2,,,13.739918,100.57256
,12000000,,145,,,2,2,,,13.74306,100.57351
แอชตัน จุฬา-สีลม,6900000,,35,,,1,1,,,13.731096,100.531012
,4100000,,29,,,1,1,,,13.722909,100.576852
แอสปาย พระราม9,4200000,15000,32,,,1,1,,,13.754805,100.566923
ควอทโทร บาย แสนสิริ,19400000,,85,,,2,2,,,13.727561,100.581708
,4260000,,30,,,1,1,,,13.695377,100.605772
ดิ แอดเดรส สุขุมวิท 42,11000000,,81,,,2,2,,,13.716839,100.585358
ไอดีโอ โมบิ สุขุมวิท,7090000,,45,,,2,,,,13.704024,100.602008
เอช สุขุมวิท 43,8200000,42000,42,,,1,1,,,13.732767,100.574008
,3900000,18000,35,,,1,1,,,13.778353,100.57407
,9430000,,42,,,1,1,,,13.72461,100.584823
คิว คอนโด อโศก ,9050000,,37,,,1,1,,,13.748244,100.562727
,3610000,,26,,,1,1,,,13.75598,100.568231
ไนท์บริดจ์ ไพร์ม สาทร,6150000,,44,,,1,1,,,13.716801,100.533128
เดอะ ไลน์ อโศก-รัชดา,4105000,,28,,,1,1,,,13.755979,100.563553
แอ็บสแตร็กส์ สุขุมวิท 66/1,4260000,25000,60,,,2,2,,,13.679587,100.605677
แอ็บสแตร็กส์ พหลโยธิน พาร์ค,5220000,20000,46,,,1,1,,,13.818025,100.564932
เดอะ ซี๊ด มิงเกิ้ล,4790000,,45,,,1,1,,,13.719886,100.539537
เดอะ เซนต์ เรสิเดนเซส ,6500000,,56,,,2,2,,,,
ไอดีโอ สุขุมวิท 93,4360000,,34,,,1,1,,,13.698563,100.604805
ลิฟ แอท 49,15500000,50000,75,,,2,2,,,13.728634,100.575585
,4580000,20000,40,,,1,1,,,13.724428,100.581965
ดิ แอดเดรส อโศก,6480000,,45,,,1,1,,,13.749514,100.561981
,3730000,,48,,,1,1,,,13.771417,100.539397
ไลฟ์ แอท รัชดา-ห้วยขวาง,3390000,,30,,,1,1,,,13.778809,100.574207
,4255000,,51,,,1,1,,,13.696006,100.544954
The Room พระราม 4,10340000,,56,,,1,1,,,13.736319,100.52076
,13900000,,138,,,2,2,,,13.738605,100.572584
,7500000,,43,,,1,1,,,13.715203,100.594754
,6030000,,40,,,1,1,,,13.754357,100.563878
,4490000,,32,,,1,1,,,13.754357,100.563878
ลุมพินี เพลส รัชโยธิน,2880000,,28,,,1,1,,,13.830208,100.570346
ไดมอนด์ สุขุมวิท,6500000,,55,,,2,2,,,13.708239,100.59886
วิสซ์ดอม คอนเนค สุขุมวิท,4370000,,29,,,1,1,,,13.685642,100.610619
เดอะ คิวบ์ พลัส แจ้งวัฒนะ,2250000,,28,,,1,1,1,1,13.889252,100.576879
เลอ โคเต้ ทองหล่อ 8,3950000,20000,30,,,1,1,,,13.731013,100.582694
ไลฟ์ อโศก-พระราม 9 ,3800000,,40,,,1,1,,,13.754357,100.563878
เดอะ ไลน์ อโศก-รัชดา,6265300,,35,,,1,1,,,13.755979,100.563553
ไนท์บริดจ์ ไพร์ม สาทร,5780000,,26,,,1,1,,,13.716801,100.533128
,5825896,,48,,,1,1,,,13.75598,100.568231
คิว ชิดลม-เพชรบุรี,22230000,,110,,,2,2,,,13.749404,100.543869
เดอะริช สาทร - ตากสิน,4260000,,30,,,1,1,,,13.719953,100.493851
15 สุขุมวิท เรสซิเดนซ์,9360000,,59,,,1,1,,,13.742115,100.558557
,17520000,,94,,,2,2,,,13.806523,100.51946
,18090000,60000,121,,,2,2,,,13.730626,100.573124
เอสแอนด์เอส สุขุมวิท,5110000,25000,70,,,2,2,,,13.683741,100.614941
เอ สเปซ ไอดี อโศก-รัชดา,4690000,16000,33,,,1,1,,,13.756804,100.560239
,4010000,,28,,,1,1,,,,
ไอดีโอ สาทร-ท่าพระ,2800000,10000,22,,,,1,,,13.717258,100.482319
เมย์แฟร์ เพลส สุขุมวิท 50,5800000,,,,,,,,,13.704725,100.595236
แมกโนเลียส์ วอเตอร์ฟรอนท์ เรสซิเดนซ์ ณ ไอคอนสยาม,47800000,,128,,,2,2,,,13.727956,100.511167
สตาร์วิว พระราม 3,8520000,,77,,,2,2,,,13.687433,100.517984
,8940000,,70,,,1,1,,,13.74653,100.55643
ริทึ่ม รัชดา,5090000,20000,46,,,1,1,,,13.798751,100.575843
,9120000,,55,,,1,1,,,13.75598,100.568231
คอนโดเลต ไลท์ คอนแวนต์,5800000,25000,33,,,1,1,,,13.725069,100.53313
