CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
เดอะ ไลน์ จตุจักร-หมอชิต,6410000,,34,,,1,1,,,13.8062,100.5562
,23400000,,86,,,2,2,,,13.738167,100.561806
ดิแอดเดรสสยาม,7946000,35000,58,,0,2,,0,,13.752121,100.534351
,10500000,40000,53,,32,2,,0,,13.715357,100.590687
,7500000,,55,,0,1,,0,,13.721926,100.584844
ศุภาลัย ปาร์ค เอกมัย-ทองหล่อ,8100000,,85,,,2,1,,,13.7435,100.589
,33828837,,336,,,3,3,,,13.74034,100.56119
,7800000,,45,,,1,,,,13.735884,100.520588
เดอะ บางกอก นราธิวาสราชนครินทร์,15900000,,192,,0,2,,0,,13.70914,100.532979
,15500000,65000,231,,0,3,,0,,13.742306,100.573366
,18280000,,76,,,2,2,,,13.7432,100.562
,5650000,,,,0,,,0,,13.727065,100.534621
เดอะ ไลน์ จตุจักร-หมอชิต,10530000,,59,,,2,2,,,13.8062,100.5562
,8800000,,50,,,2,1,,,13.77789,100.54245
,5100000,,44,,,1,,,,13.712234,100.580562
ไลฟ์ อโศก-พระราม 9 ,3900000,,25,,,,1,,,13.755352,100.564598
,3800000,,28,,10,1,,1,,13.742197,100.557737
โนเบิล รีวอลฟ์ รัชดา,3880000,,23,,,,,,,13.76369,100.56947
แอสปาย พระราม 4,3551727,23000,32,,,1,1,,,13.71219,100.58449
,4650000,,33,,4,,,1,,13.72027,100.552844
แอชตัน จุฬา-สีลม,5550635,,24,,,,1,,,13.7311,100.53101
,3900000,16000,35,,,1,,,,13.6873,100.607
,11155000,45000,97,,0,2,,0,,13.759717,100.569091
อกัสตัน สุขุมวิท 22,8900000,,56,,,1,1,,,13.7251,100.564
,6237000,30000,77,,0,2,,0,,13.713416,100.592195
,11241000,,44,,1,1,,0,,13.730869,100.579384
,4430000,,39,,14,1,,0,,13.71433,100.592936
มาเอสโตร 02 ร่วมฤดี,6500000,,28,,0,1,,0,,13.816348,100.541525
,13000000,57000,74,,,2,2,,,13.7226,100.58
โนเบิล รีโว สีลม,8270000,,55,,,1,1,,,13.71951,100.51949
,12400000,,82,,0,3,,0,,13.740424,100.572748
มิราจ สุขุมวิท 27,5350000,,36,,0,1,,1,,13.735297,100.564495
เลอ โมนาโค เรสซิเด้นท์,56088507,,361,,,4,4,,,13.78746,100.544
วายน์ สุขุมวิท,4500000,,35,,,1,1,,,13.7128,100.594
,13500000,,61,,,1,1,,,13.727726,100.575105
แอชตัน อโศก,8440000,,34,,,1,1,,,13.73701,100.56039
,6390000,,34,,0,1,1,0,,13.725516,100.566202
ไลฟ์ อโศก,5000000,,35,,,1,1,,,13.750507,100.563889
,13690000,60000,74,,0,1,,0,,13.721175,100.579126
ควอทโทร บาย แสนสิริ,22200000,80000,83,,,2,2,,,13.7275,100.582
,15443926,40000,190,,,3,4,,,13.72433,100.5668
เดอะ ไลน์ จตุจักร-หมอชิต,10780000,,59,,,2,2,,,13.8062,100.5562
,5800000,,50,,,1,1,,,13.727936,100.560892
อกัสตัน สุขุมวิท 22,7300000,34000,58,,26,1,,1,,13.725176,100.563992
,18000000,70000,85,,11,2,,1,,13.744526,100.54395
,3550000,,31,,14,1,,1,,13.748565,100.60701
,4740000,,58,,,,,,,13.71377,100.55202
เดอะ สกาย สุขุมวิท,6119853,,46,,,1,1,,,13.67555,100.60801
ซีล บาย แสนสิริ,6650000,40000,60,,,2,2,,,13.7304,100.588
,8910000,,75,,,,,,,,
,5761030,,69,,,2,2,,,13.715837,100.505659
,4463410,15000,32,,,1,1,,,13.829167,100.527092
ริทึ่ม สาทร,6940000,,45,,,1,1,,,13.71677,100.51648
เดอะ เบส สุขุมวิท 77,2910000,13000,30,,0,1,,0,,13.710892,100.601979
เมโทร สกาย บางซื่อ - ประชาชื่น,4500000,,45,,12,2,,1,,13.822132,100.536551
,9711000,,66,,2,2,,1,,13.746337,100.587398
,16500000,,260,,12,3,,0,,13.742306,100.573366
,23919000,90000,201,,0,3,,0,,13.715964,100.585405
แอชตัน จุฬา-สีลม,13004462,,57,,,2,1,,,13.7311,100.53101
เอ็ม ทองหล่อ 10,5573341,,36,,,1,1,,,13.73093,100.58638
,2950000,,30,,0,1,,0,,13.713461,100.598873
ไอดีโอ โมบิ อโศก,10510000,,54,,,2,1,,,13.70427,100.60203
,6100000,,31,,,1,1,,,13.715205,100.594752
,60400000,,143,,,2,2,,,13.7355,100.539
เลอพรีเมียร์ 1,11500000,,171,,,2,2,,1,,
